player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,3p/100?,dob,trank_year
Portia Adams,UTEP,CUSA,28,66.4,95,26.1,44.3,49.55,3.1,10,22,20.6,75,98,0.765,90,227,0.396,30,78,0.385,0,1.6,32.1,Sr,5-6,11,2.38674,102.107,3.7,2026,74313,"Cedar Hill, TX",,1.0389605,45,85,45,142,0.5294,0.3169,0,0,,,102.193,106.24,1.10198,127.159,-2.73354,1.09417,-3.82771,-1.58115,26.7367,1.38049,-2.96164,0.8667,2.2667,3.1333,2.6667,0.7333,0,12.1333,Combo G,5.82114,,2026
Alaina Payne,Little Rock,OVC,29,79.3,90.3,16.1,41.6,47.75,7.2,11.8,21.7,27.8,49,66,0.742,64,147,0.435,5,25,0.2,0.7,2.6,38.4,Sr,5-9,7,0.883683,84.2303,3.3,2026,74344,"Fort Worth, TX",,1.31942661,47,91,17,56,0.5165,0.3036,0,0,,,92.2023,93.7594,2.69049,184.484,1.7039,0.344339,1.35956,-0.294819,31.3452,-1.15394,0.859121,2.2258,3.2581,5.4839,3.0645,1.4839,0.1935,6.5161,Combo G,1.57344,,2026
Shaunice Reed,South Carolina St.,MEAC,22,54.8,82,24.1,36.4,44.93,4.3,9.9,13.2,21.4,73,91,0.802,55,158,0.348,16,59,0.271,0.3,3.8,41.9,Sr,5-6,14,0.761192,84.0685,3.3,2026,74382,"Seattle, WA",,0.5689577,40,103,15,55,0.3883,0.2727,0,0,,,97.921,108.807,0.908494,127.723,-5.32751,-2.46971,-2.8578,-3.97454,27.2625,-2.0039,-1.97064,1.2083,2.4167,3.625,1.375,2.125,0.0833,10.7917,Combo G,5.25626,,2026
Angie Juste-Jean,South Carolina St.,MEAC,20,44.3,70.9,22.9,40.7,43.72,3.8,13.6,10.3,28.8,24,36,0.667,54,124,0.435,9,42,0.214,1,3,21.7,Sr,5-8,9,-0.348524,72.1479,3.6,2026,74388,"Montreal, Canada",,0.31746752,37,81,17,43,0.4568,0.3953,0,0,,,97.6029,104.081,1.21352,104.582,-8.61493,-5.99648,-2.61844,-7.12889,24.3318,-4.51203,-2.61686,1.1364,3.2727,4.4091,0.9091,1.5909,0.2273,8.3182,Wing G,4.62861,,2026
Detavia Salter,Troy,SB,30,19.3,80.8,14.4,51.2,55.22,10.8,12.1,1.3,41,13,20,0.65,21,40,0.525,0,1,0,4.7,1,48.8,Jr,6-2,0,-0.0958426,72.8491,7.1,2026,74399,"Colquitt, GA",,0.09377119,19,37,2,3,0.5135,0.6667,0,0,,,90.9327,90.44,0.793371,53.029,-2.43583,-3.26221,0.826371,-4.62365,8.7774,-4.96441,0.340764,1.0968,1.129,2.2258,0.0968,0.1935,0.4194,2.129,PF/C,0.204046,,2026
Caliana Fenceroy,Niagara,MAAC,19,39.7,56.7,21.5,30.1,33.2,2.3,8,15.4,33.8,16,23,0.696,25,87,0.287,13,61,0.213,0.2,2.8,15.5,Sr,5-5,12,-1.63644,56.7685,4,2026,74483,"Omaha, NE",,0.42858437,14,45,11,42,0.3111,0.2619,0,0,,,105.063,109.747,0.71191,82.7385,-11.8383,-7.4923,-4.34601,-11.351,24.2684,-7.21574,-4.13521,0.5789,1.6316,2.2105,1.4211,1.2632,0.0526,5.5263,Combo G,7.04542,,2026
Daisia Mitchell,Appalachian St.,SB,28,69.9,86.9,24.5,45.2,48.14,5.6,10.8,18,24.6,40,57,0.702,87,194,0.448,24,78,0.308,1.7,3.1,21,Jr,6-0,24,1.63387,93.0387,4,2026,74583,"Riverside, CA",,0.76830203,65,123,22,71,0.5285,0.3099,0,0,,,93.568,92.5971,2.48453,156.54,0.569578,-0.42227,0.991849,0.398955,27.3333,-0.0649209,0.463876,1.3667,2.5667,3.9333,2.1,1.5,0.4667,10.4667,Combo G,5.94893,,2026
Jess Moors,Florida Atlantic,Amer,31,78.5,87.3,17.5,41.1,48.44,3.1,10.2,22.3,28.2,62,72,0.861,61,142,0.43,18,72,0.25,1.4,3,33.6,Sr,6-0,3,0.986938,85.2607,2.1,2026,74586,"Auckland, New Zealand",,1.15909091,58,123,3,19,0.4715,0.1579,1,1,1,,96.0369,96.1011,2.40754,193.161,-0.0571932,-0.635172,0.577979,-0.490827,31.5437,-0.830399,0.339572,0.875,2.9688,3.8438,3.1875,1.625,0.5312,7.5625,Scoring PG,4.12036,,2026
Stephanie Mosley,Louisiana,SB,29,36.6,79.8,19.8,46.8,48.03,5.6,7.3,5.1,27.4,28,60,0.467,40,86,0.465,8,25,0.32,0,1.8,54.1,So,6-0,3,0.182468,79.7968,3.7,2026,74627,"Mansfield, TX",,0.23257156,30,50,10,36,0.6,0.2778,0,0,,,105.886,104.832,0.678442,70.6572,-6.91901,-3.4365,-3.4825,-5.08265,14.5065,-2.37573,-2.70693,0.9355,0.9677,1.9032,0.3226,0.4516,0,4.6774,Wing G,3.22944,,2026
Taylor Moffat,Portland St.,BSky,28,49.6,87.5,15.8,42.6,45.49,1.6,10.2,18.4,22.4,23,37,0.622,23,55,0.418,25,87,0.287,0.9,1.7,26.1,Sr,5-8,23,0.40117,81.6435,3.6,2026,74646,"Mount Barker, Australia",,1.4474548,11,21,12,34,0.5238,0.3529,0,0,,,106.503,109.436,0.646079,102.939,-4.40148,-0.52148,-3.88,-4.03064,21.1276,-1.57201,-2.45862,0.3103,2,2.3103,1.8966,0.6552,0.2069,5.2414,Combo G,8.10761,,2026
