15,Indiana Fever,Celeste Taylor,,Ohio State,1,22,,14.9,2.6,1.3,1.3,,-0.4,-0.049
16,Las Vegas Aces,Dyaisha Fair,,Syracuse,1,1,,4,0,0,2,,0,-0.333
17,New York Liberty,Esmery Martinez,,Arizona,0,,,,,,,,,
18,Las Vegas Aces,Kate Martin,,Iowa,2,76,,14.2,4.6,2.2,0.9,,0.7,0.026
19,Connecticut Sun,Taiyanna Jackson,,Kansas,0,,,,,,,,,
20,Atlanta Dream,Isobel Borlase,Australia,,0,,,,,,,,,
21,Washington Mystics,Kaylynne Truong,,Gonzaga,0,,,,,,,,,
22,Connecticut Sun,Helena Pueyo,,Arizona,0,,,,,,,,,
23,New York Liberty,Jessika Carter,,Mississippi State,1,2,,2,0,0,0,,-0.1,-0.578
24,Las Vegas Aces,Elizabeth Kitley,,Virginia Tech,1,12,,8.2,1.3,1.4,0.1,,-0.2,-0.091
Round 3,,,,,,,,Per Game,,,,,Advanced,
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
25,Phoenix Mercury,Charisma Osborne,,UCLA,1,2,,5,1,0.5,0.5,,-0.1,-0.248
26,Seattle Storm,Mackenzie Holmes,,Indiana,1,10,,5.8,1,0.9,0.2,,0.3,0.191
27,Indiana Fever,Leilani Correa,,Florida,0,,,,,,,,,
28,Los Angeles Sparks,McKenzie Forbes,,USC,0,,,,,,,,,
29,Phoenix Mercury,Jaz Shelley,,Nebraska,0,,,,,,,,,
30,Washington Mystics,Nastja Claessens,Belgium,,0,,,,,,,,,
31,Minnesota Lynx,Kiki Jefferson,,Louisville,0,,,,,,,,,
32,Atlanta Dream,Matilde Villa,Italy,,0,,,,,,,,,
33,Dallas Wings,Ashley Owusu,,Penn State,0,,,,,,,,,
34,Connecticut Sun,Abbey Hsu,,Columbia University,0,,,,,,,,,
35,New York Liberty,Kaitlyn Davis,,USC,0,,,,,,,,,
36,Las Vegas Aces,Angel Jackson,,Jackson State University,0,,,,,,,,,
1,Indiana Fever,Aliyah Boston,,South Carolina,3,124,,30.7,14.5,8.5,3,,17.7,0.185
2,Minnesota Lynx,Diamond Miller,,Maryland,3,93,,15.9,6.5,2.2,1.3,,0.1,0.002
3,Dallas Wings,Maddy Siegrist,,Villanova,3,92,,18.1,7.9,2.8,0.6,,4.3,0.104
4,Washington Mystics,Stephanie Soares,,Iowa State,1,22,,8,1.1,2.1,0.5,,-0.3,-0.072
5,Dallas Wings,Lou Lopez Sénéchal,,UConn,1,27,,4.6,0.9,0.4,0.4,,-0.3,-0.109
6,Atlanta Dream,Haley Jones,,Stanford,3,108,,17.5,4.7,2.6,2.2,,-0.9,-0.02
7,Indiana Fever,Grace Berger,,Indiana,3,66,,15.8,3.7,2,2,,0,0.001
8,Atlanta Dream,Laeticia Amihere,,South Carolina,3,66,,9.3,3.5,2.6,0.5,,1.2,0.078
9,Seattle Storm,Jordan Horston,,Tennessee,2,75,,22.4,6.9,4.7,1.7,,1.4,0.033
10,Los Angeles Sparks,Zia Cooke,,South Carolina,3,94,,11.4,4,0.7,0.7,,-2.3,-0.086
11,Dallas Wings,Abby Meyers,,Maryland,1,9,,4,1.4,0.4,0,,0,0.027
12,Minnesota Lynx,Maia Hirsch,France,,0,,,,,,,,,
Round 2,,,,,,,,Per Game,,,,,Advanced,
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
13,Indiana Fever,Taylor Mikesell,,Ohio State,1,6,,4.8,2.8,0.3,0.3,,0.2,0.226
14,Los Angeles Sparks,Shaneice Swain,Australia,,0,,,,,,,,,
15,Atlanta Dream,Leigha Brown,,Michigan,1,25,,5.2,0.8,0.8,0.4,,-0.1,-0.039
16,Minnesota Lynx,Dorka Juhász,,UConn,2,72,,20.4,5.4,5.2,1.9,,4,0.11
17,Indiana Fever,LaDazhia Williams,,LSU,0,,,,,,,,,
18,Seattle Storm,Madi Williams,,Oklahoma,1,5,,9.2,2,1,0.2,,-0.3,-0.253
19,Dallas Wings,Ashley Joens,,Iowa State,1,19,,6.7,2.1,0.6,0.1,,-0.1,-0.037
20,Washington Mystics,Elena Tsineke,,South Florida,0,,,,,,,,,
21,Seattle Storm,Dulcy Fankam Mendjiadeu,,South Florida,2,41,,12.3,3.4,3.9,0.3,,0.9,0.071
22,Connecticut Sun,Alexis Morris,,LSU,0,,,,,,,,,
23,Chicago Sky,Kayana Traylor,,Virginia Tech,1,8,,4.4,1,0.1,0.4,,-0.1,-0.11
24,Minnesota Lynx,Brea Beal,,South Carolina,0,,,,,,,,,
Round 3,,,,,,,,Per Game,,,,,Advanced,
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
25,Indiana Fever,Victaria Saxton,,South Carolina,2,24,,3.2,1.1,0.5,0,,-0.2,-0.114
26,Los Angeles Sparks,Monika Czinano,,Iowa,0,,,,,,,,,
27,Phoenix Mercury,Destiny Harden,,Miami (FL),0,,,,,,,,,
28,Minnesota Lynx,Taylor Soule,,Virginia Tech,2,17,,3.3,0.5,0.5,0.2,,-0.3,-0.192
29,Phoenix Mercury,Kadi Sissoko,,USC,1,40,,8.4,1.5,1.6,0.2,,-0.8,-0.091
30,New York Liberty,Okako Adika,,USC,0,,,,,,,,,
31,Dallas Wings,Paige Robinson,,Illinois State,0,,,,,,,,,
32,Washington Mystics,Txell Alarcón,Spain,,0,,,,,,,,,
33,Seattle Storm,Jade Loville,,Arizona,0,,,,,,,,,
34,Connecticut Sun,Ashten Prechtel,,Stanford,0,,,,,,,,,
35,Chicago Sky,Kseniya Malashka,,Middle Tennessee,0,,,,,,,,,
36,Las Vegas Aces,Brittany Davis,,Alabama,0,,,,,,,,,
1,Atlanta Dream,Rhyne Howard,,Kentucky,4,136,,33.2,17.1,4.6,3.5,,14.5,0.128
2,Indiana Fever,NaLyssa Smith,,Baylor,4,148,,25.8,11.3,7.1,1.1,,5.1,0.053
3,Washington Mystics,Shakira Austin,,Ole Miss,4,105,,22.2,10.7,6.6,1.2,,5.2,0.09
4,Indiana Fever,Emily Engstler,,Louisville,4,119,,14.3,4.6,3.9,1.4,,3.7,0.088
5,New York Liberty,Nyara Sabally,,Oregon,3,76,,12.1,3.9,3.3,0.5,,3.5,0.154
6,Indiana Fever,Lexie Hull,,Stanford,4,134,,21,5.5,3,1.2,,3.8,0.053
7,Dallas Wings,Veronica Burton,,Northwestern,4,151,,18.5,5.4,2.4,3.2,,10.5,0.151
8,Minnesota Lynx,Mya Hollingshed,,Colorado,0,,,,,,,,,
9,Los Angeles Sparks,Rae Burrell,,Tennessee,4,97,,15.1,5.6,1.8,1,,1.8,0.05
10,Indiana Fever,Queen Egbo,,Baylor,3,78,,15.7,5.5,4.8,0.5,,1.1,0.036
11,Las Vegas Aces,Kierstan Bell,,Florida Gulf Coast,4,98,,10.4,3.3,1.5,0.5,,0.5,0.019
12,Connecticut Sun,Nia Clouden,,Michigan State,2,33,,9.2,2,0.8,0.9,,0.1,0.02
Round 2,,,,,,,,Per Game,,,,,Advanced,
Pk,Team,Player,Former,College,Yrs,G,,MP,PTS,TRB,AST,,WS,WS/40
13,Minnesota Lynx,Khayla Pointer,,LSU,1,10,,5.8,2.2,0.8,0.2,,-0.1,-0.092
14,Washington Mystics,Christyn Williams,,UConn,1,4,,11.3,4.3,1,0.8,,0,-0.004
15,Atlanta Dream,Naz Hillmon,,Michigan,4,158,,20.3,5.8,4.9,1.4,,10.2,0.128
16,Los Angeles Sparks,Kianna Smith,,Louisville,1,11,,10.3,2.6,0.8,0.5,,-0.2,-0.054
17,Seattle Storm,Elissa Cunane,,NC State,1,3,,3.3,0.7,1.7,0,,0,0.012
18,Seattle Storm,Lorela Cubaj,,Georgia Tech,3,42,,7.8,1,1.7,0.5,,0.2,0.019
19,Los Angeles Sparks,Olivia Nelson-Ododa,,UConn,4,143,,15.8,5.1,3.6,0.5,,5.9,0.105
20,Indiana Fever,Destanni Henderson,,South Carolina,3,57,,15.7,4.8,1.4,2.3,,-0.6,-0.027
