player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,3p/100?,dob,bt_fetch_year
"[[""Jadyn Atchison""",UT Arlington,WAC,33,55.1,71.7,26.7,41.3,42.45,2.8,11.9,21.2,29.1,22,41,0.537,91,228,0.399,22,72,0.306,2.7,4,13.7,Jr,6-1,13,0.239748,78.8393,4.7,2026,67370,"Cedar Hill, TX",null,0.57143757,45,86,46,142,0.5233,0.3239,0,0,null,null,88.3932,88.2392,2.25454,172.797,-1.82028,-3.46005,1.63977,-2.06773,22.3,-3.0755,1.00777,0.5455,2.4545,3,1.8182,1.6364,0.5758,8.1818,Combo G,5.33878],"[""Jada Bediako""",2019
"[[""Jadyn Atchison""",UT Arlington,WAC,33,55.1,71.7,26.7,41.3,42.45,2.8,11.9,21.2,29.1,22,41,0.537,91,228,0.399,22,72,0.306,2.7,4,13.7,Jr,6-1,13,0.239748,78.8393,4.7,2026,67370,"Cedar Hill, TX",null,0.57143757,45,86,46,142,0.5233,0.3239,0,0,null,null,88.3932,88.2392,2.25454,172.797,-1.82028,-3.46005,1.63977,-2.06773,22.3,-3.0755,1.00777,0.5455,2.4545,3,1.8182,1.6364,0.5758,8.1818,Combo G,5.33878],"[""Jada Bediako""",2020
"[[""Sharna Ayres""",LSU,SEC,9,3.7,46.2,18,18.2,18.18,3.3,15.5,12.3,19.4,0,0,0,2,6,0.333,0,5,0,3.2,0,0,Fr,5-10,35,-0.333737,49.5957,4.8,2021,67375,"Melbourne, Australia",null,1,0,1,2,5,0,0.4,0,0,null,null,93.9447,85.5475,0.40861,5.47201,-5.19475,-5.81148,0.616731,-6.81184,3.6667,-6.59462,-0.217221,0.1111,0.4444,0.5556,0.2222,0,0.1111,0.4444,PF\/C,8.68259],"[""Lucie Castagne""",2021
"[[""Kierra Middleton""",Tulane,Amer,7,1.9,52.7,22.4,22.2,25.3,4.7,8.6,0,22.4,1,2,0.5,2,5,0.4,0,4,0,4,2.5,22.2,Fr,5-7,2,-0.233072,55.443,3.5,2022,67373,"Arlington, TX",null,1,2,5,0,0,0.4,null,0,0,null,null,91.9687,95.9793,0.24976,4.65293,-9.86655,-7.43747,-2.42907,-11.5088,4.125,-9.41229,-2.09649,0.25,0.5,0.75,0.25,0.125,0.125,1.375,Wing G,9.92858],"[""Sharna Ayres""",2022
"[[""Jada Thornton""",Stonehill,NEC,28,30.5,58.8,16.5,24.6,30.77,5.6,8.4,7.1,31.1,15,25,0.6,15,62,0.242,1,5,0.2,0.5,1.1,37.3,Jr,5-9,2,-1.07101,52.0977,3.1,2023,67372,"Germantown, MD",null,0.4483,10,30,5,32,0.3333,0.1563,0,0,null,null,101.854,109.979,0.725628,53.146,-11.7826,-7.56399,-4.21866,-11.0475,12.4483,-7.99563,-3.05184,0.5862,0.8621,1.4483,0.4483,0.2069,0.069,1.6552,Wing G,0.887964],"[""Kierra Middleton""",2023
"[[""Jadyn Atchison""",Colorado,P12,14,3.8,75.7,30.9,32.7,33.17,15.2,18.1,14,17.6,2,6,0.333,7,20,0.35,1,6,0.167,2.1,3.3,23.1,Fr,6-1,1,0.165204,89.4131,5.4,2024,67370,"Cedar Hill, TX",null,0.80005597,5,8,2,12,0.625,0.1667,0,0,null,null,87.8629,83.5704,0.451429,11.8491,0.625848,-1.26517,1.89102,-5.69831,3.7143,-4.13768,-1.56062,0.5,0.5714,1.0714,0.2857,0.2143,0.0714,1.3571,Wing G,6.51046],"[""Jada Bediako""",2024
"[[""Jadyn Atchison""",Old Dominion,SB,29,12.4,64.2,24.2,29.3,32.05,5.9,16.9,17.8,31.9,6,10,0.6,11,40,0.275,4,18,0.222,3,3.5,17.2,So,6-1,1,-0.159731,67.9951,3.5,2025,67370,"Cedar Hill, TX",null,0.60870733,7,15,4,25,0.4667,0.16,0,0,null,null,87.522,87.5296,0.584869,38.8911,-4.46145,-6.14453,1.68307,-2.65334,5.6323,-3.60843,0.955089,0.3226,0.871,1.1935,0.4516,0.3226,0.1935,1.6129,Wing G,6.30462],"[""Jada Bediako""",2025
