year,pid,player,team,rim_made,rim_miss,rim_assisted,mid_made,mid_miss,mid_assisted,three_made,three_miss,three_assisted,dunks_made,dunks_miss,dunks_assisted
2026,81067,Saray White,Cal St. Northridge,52,61,11,17,25,3,24,46,22,0,0,0
2026,81068,Amya Moody,Cal St. Northridge,4,10,3,15,31,1,12,38,6,0,0,0
2026,81070,Jocelyn Faison,Georgia,12,9,9,3,11,2,0,7,0,0,0,0
2026,81071,Aubrey Beckham,Georgia,0,0,0,0,3,0,1,0,1,0,0,0
2026,81072,Julie Nekolna,Texas Tech,3,3,1,0,1,0,0,0,0,0,0,0
2026,81073,Jazzy Davidson,USC,93,46,38,64,138,24,59,140,51,1,1,1
2026,81074,Samiyah Briggs,Indiana St.,39,54,15,19,53,6,20,64,20,0,0,0
2026,81075,Gerda Raulusaityte,USC,17,11,12,8,15,8,0,1,0,0,0,0
2026,81076,Madison Fitzgibbon,Milwaukee,3,11,1,3,16,1,39,60,32,0,0,0
2026,81077,Paige Whitted,Cincinnati,0,0,0,1,4,1,2,10,2,0,0,0
2026,81078,Alisha Peavy,Tulsa,21,26,9,2,12,0,9,27,9,0,0,0
2026,81080,Lindsay Hogan,New Haven,38,22,27,26,50,21,42,102,39,0,0,0
2026,81081,Jamaya Thomas,Northern Kentucky,24,36,11,4,7,2,0,1,0,0,0,0
2026,81083,Anna Shreeve,Utah Valley,4,5,1,0,2,0,0,3,0,0,0,0
2026,81084,Georgia Simonsen,Radford,116,86,77,40,60,17,4,6,4,0,1,0
2026,81085,Abril Ricart Mensah,Jacksonville St.,2,5,1,1,3,0,0,2,0,0,0,0
2026,81086,Amaya Blake,Indiana St.,0,0,0,0,0,0,0,0,0,0,0,0
2026,81087,Anna McCarn,Lindenwood,10,13,5,1,7,0,0,0,0,0,0,0
2026,81088,Hannah Williams,Northern Arizona,14,21,9,3,22,0,0,1,0,0,0,0
2026,81089,Jordyn Adderly,Coppin St.,0,5,0,1,3,1,2,1,1,0,0,0
2026,81090,Justice Macon,Lindenwood,1,1,0,0,0,0,0,0,0,0,0,0
2026,81091,Valerie Norwood,Lindenwood,30,30,4,13,27,5,8,11,6,0,0,0
2026,81092,Jordyn Smith,Notre Dame,2,0,0,0,1,0,0,2,0,0,0,0
2026,81094,Ashley Buragas,Le Moyne,129,97,50,32,61,16,0,4,0,0,0,0
2026,81096,Ivy Brown,UT Rio Grande Valley,33,26,19,9,8,5,11,18,7,0,0,0
2026,81097,Chazlyn Dettor,UT Rio Grande Valley,89,86,75,21,55,17,10,26,9,0,0,0
