player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,3p/100?,dob,bt_fetch_year
Latasha Lattimore,Mississippi,SEC,36,66,105,20.9,50.8,55.34,8.9,17.1,7.7,21.6,86,121,0.711,130,253,0.514,15,47,0.319,7.4,1.2,40.3,Sr,6-4,8,3.64268,115.99,2.1,2026,71007,"Toronto, Canada",92.6,0.50002372,97,166,33,87,0.5843,0.3793,0,0,,,86.2613,77.6907,3.70878,210.54,8.92619,3.95135,4.97485,8.38732,26.475,5.26436,3.12297,2.2222,3.9167,6.1389,1.0556,0.5833,2,10.8611,PF/C,2.79105,,2026
Cristen Carter,Georgetown,BE,30,34.7,95,21,48.6,51.74,13,20,13.3,26.2,31,53,0.585,54,110,0.491,0,1,0,3.2,1.4,47.7,Jr,6-4,24,1.3275,102.867,4.1,2026,71015,"Indianapolis, IN",,0.62499062,47,87,7,23,0.5402,0.3043,0,0,,,91.1022,84.7266,1.66653,88.0009,3.02296,0.690855,2.3321,1.93249,14.4667,1.07699,0.855504,1.7,2.4,4.1,0.8333,0.3333,0.4,4.6333,PF/C,0.137686,,2026
Gabby Anderson,Harvard,Ivy,9,18.3,84.3,13.7,36.7,39.83,12.1,16.3,5.5,27.7,6,9,0.667,12,30,0.4,3,15,0.2,1.9,3.5,20,Sr,5-11,5,0.282517,79.3191,3.5,2026,71016,"Columbus, OH",,0.46667068,7,16,5,14,0.4375,0.3571,0,0,,,80.9801,74.1289,3.99382,53.5183,4.12209,-0.0948237,4.21691,2.59765,26.4778,-0.0498733,2.64752,3,3.4444,6.4444,0.7778,1.5556,0.4444,4.3333,Wing G,3.79734,,2026
Zoe Borter,UC Santa Barbara,BW,29,88.2,112.6,20.8,51.6,56.91,2.4,7.3,14,10.5,87,103,0.845,79,183,0.432,63,153,0.412,0.5,1,30.7,Jr,6-0,2,4.34497,111.757,2.3,2026,71017,"Beaverton, OR",,1.71050749,62,127,17,56,0.4882,0.3036,0,0,,,93.7842,96.6606,2.63738,167.455,2.08277,3.61983,-1.53706,2.94206,34.83,3.55117,-0.609115,0.7333,2.5,3.2333,2.1667,0.6333,0.1667,15,Combo G,8.82731,,2026
Meghan Andersen,Fairfield,MAAC,33,74.2,109.7,25.2,54.5,56.87,4,15.5,13.6,13.1,48,54,0.889,110,223,0.493,88,221,0.398,3.8,2.4,12.2,Jr,6-1,5,4.01839,115.197,2.6,2026,71018,"Wantagh, NY",,1.12498528,95,186,15,37,0.5108,0.4054,0,0,,,81.3436,84.9526,3.42624,213.997,5.90078,3.8551,2.04568,7.00526,29.697,5.60652,1.39874,1,3.7273,4.7273,1.9091,1.2424,1,16.1212,Wing G,13.0498,,2026
Audrey Taylor,Northern Arizona,BSky,28,73.1,78.9,14.8,42.7,45.03,1.2,7.5,16.6,29.6,22,34,0.647,21,59,0.356,39,127,0.307,0.1,2.8,18.3,Sr,5-6,11,-0.410292,72.441,2.6,2026,71020,"Boise, ID",,1.13332005,12,31,9,28,0.3871,0.3214,0,0,,,102.418,102.586,1.70375,167.188,-3.10645,-1.17932,-1.92713,-4.28534,31.0467,-2.89708,-1.38826,0.3667,2.2,2.5667,2.8333,1.7333,0.0333,6.6,Scoring PG,7.744,,2026
Taylor Feldman,Purdue,B10,7,9.7,97.7,23.4,43.9,48.46,5,12.6,23.1,21,8,10,0.8,6,22,0.273,8,19,0.421,1.8,1,24.4,Sr,5-8,5,1.70604,105.592,3.8,2026,71021,"Tustin, CA",,1.39997205,4,12,2,10,0.3333,0.2,0,0,,,105.159,101.917,0.945296,19.1901,0.996644,2.25262,-1.25598,3.55774,16.7286,4.20628,-0.64854,0.7143,1.7143,2.4286,2,0.2857,0.2857,6.2857,Combo G,9.29128,,2026
Saniyah Neverson,Hawaii,BW,31,62.2,110.3,20.4,53.9,57.66,6.9,15.5,11.7,16.1,51,64,0.797,99,184,0.538,22,61,0.361,5,2.5,26.1,Sr,6-1,33,2.83002,109.011,2.3,2026,71022,"Surprise, AZ",,0.90698391,84,136,15,48,0.6176,0.3125,0,0,,,82.5668,83.7175,2.97969,177.443,6.58542,2.99156,3.59386,7.09276,25.1091,3.97376,3.119,1.3939,3.8485,5.2424,1.1818,1,1.1818,9.8485,Wing G,4.67303,,2026
Sophie Glancey,Santa Clara,WCC,17,33.6,118.1,23.6,50.5,56.66,9,18.5,6.5,8.4,57,67,0.851,82,156,0.526,10,36,0.278,6.9,1.8,34.9,Sr,6-2,12,4.46306,126.78,3.3,2026,71023,"Boise, ID",,0.87501411,51,79,31,77,0.6456,0.4026,0,0,,,89.3063,88.3774,2.63168,105.216,5.41369,4.03909,1.3746,7.71591,24.5556,6.71097,1.00494,2.5,4.5,7,0.7778,0.8333,2,14.5556,PF/C,4.46414,,2026
Destiny Howell,Wisconsin,B10,33,70.8,98.6,24,51.9,54.22,3.4,7.8,10.1,20.6,47,59,0.797,100,216,0.463,72,185,0.389,1.1,1.4,14.7,Sr,6-0,1,3.64137,112.163,4,2026,71026,"Queens, NY",,0.53009703,56,88,44,128,0.6364,0.3438,0,0,,,107.031,94.2564,2.42461,144.327,2.02759,3.42603,-1.39844,2.2115,29.7333,3.4965,-1.285,0.8788,2,2.8788,1.3333,0.697,0.303,14.0303,Wing G,10.9948,,2026
