year,pid,player,team,rim_made,rim_miss,rim_assisted,mid_made,mid_miss,mid_assisted,three_made,three_miss,three_assisted,dunks_made,dunks_miss,dunks_assisted
2021,67605,Morgan Frank,Colgate,5,6,2,2,4,2,3,9,3,0,0,0
2021,67608,Jada Moore,Kansas St.,16,18,3,4,4,1,2,13,2,0,0,0
2021,67609,Mi'Cole Cayton,Nebraska,4,7,1,1,0,0,5,14,5,0,0,0
2021,67616,Camryn Brown,UCLA,7,8,3,3,8,3,0,2,0,0,0,0
2021,67623,Jade Edwards,American,48,20,21,10,16,2,10,30,8,0,0,0
2021,67625,Tara Manumaleuga,Arizona,0,3,0,0,0,0,3,5,3,0,0,0
2021,67626,Sharon Goodman,Iowa,39,19,30,5,17,5,0,0,0,0,0,0
2021,67627,Caitlin Clark,Iowa,91,61,21,59,67,3,116,170,65,0,0,0
2021,67631,Janaia Fargo,Charleston Southern,13,17,0,7,22,2,14,28,9,0,0,0
2021,67635,Charlisse Leger-Walker,Washington St.,48,66,16,40,85,16,57,117,44,0,0,0
2021,67639,Tiffany Hammond,Sacred Heart,4,6,0,4,16,1,14,28,13,0,0,0
2021,67645,Tahlia White,BYU,2,2,1,2,6,0,6,5,6,0,0,0
2021,67646,Kaylee Smiler,BYU,3,4,1,3,5,2,20,31,19,0,0,0
2021,67647,Marta Savic,Wyoming,29,9,17,6,13,2,0,0,0,0,0,0
2021,67650,Kayla Drummond,Lafayette,2,1,2,0,0,0,0,0,0,0,0,0
2021,67651,Makayla Andrews,Lafayette,9,13,5,7,22,5,6,15,6,0,0,0
2021,67655,Courtney Whitson,Middle Tennessee,28,20,10,11,23,4,55,99,55,0,0,0
2021,67656,Maddie Walsh,UAB,15,15,6,8,22,2,18,52,16,0,0,0
2021,67659,Kylee Schneringer,UAB,7,10,1,4,15,1,3,12,2,0,0,0
2021,67664,Kiersten Nelson,Samford,12,11,8,3,7,3,1,1,1,0,0,0
2021,67668,Blythe Pearson,Lipscomb,3,3,3,1,1,1,11,42,11,0,0,0
2021,67674,Tori Hyduke,Drexel,5,2,1,4,11,1,8,32,5,0,0,0
2021,67683,A'Jah Davis,Northern Illinois,84,85,40,5,14,1,0,1,0,0,0,0
2021,67685,Ciara Smith,Georgia St.,0,0,0,0,0,0,0,2,0,0,0,0
2021,67687,Sydney Graber,Central Michigan,2,3,1,0,1,0,1,3,1,0,0,0
2021,67692,Hanna Wheeler,Incarnate Word,1,0,0,0,1,0,0,0,0,0,0,0
2021,67696,Cydney Johnson,High Point,32,21,9,3,13,1,30,54,27,0,0,0
2021,67697,Callie Scheier,High Point,3,7,1,3,6,1,45,78,45,0,0,0
2021,67698,Joelle Johnson,Georgia St.,25,14,4,9,22,3,11,22,11,0,0,0
2021,67705,Kennedy Grier,Furman,0,1,0,0,1,0,0,1,0,0,0,0
2021,67709,Hannah Simental,Northern Colorado,22,26,8,9,13,2,38,51,27,0,0,0
2021,67710,Emily Bessoir,UCLA,29,19,16,12,22,8,20,48,20,0,0,0
2021,67714,Maddie Burke,Penn St.,10,7,5,4,18,3,58,106,57,0,0,0
2021,67724,Sierra McCullough,Charlotte,4,1,2,2,3,1,0,0,0,0,0,0
2021,67726,Taylor Jones,Oregon St.,64,40,47,25,36,21,0,0,0,0,0,0
2021,67728,Brooke Anya,Longwood,11,18,6,0,0,0,0,7,0,0,0,0
2021,67729,Julia Martinez,Saint Louis,18,21,4,2,8,2,9,14,9,0,0,0
2021,67735,Olivia Summiel,Wake Forest,21,17,10,2,10,2,5,11,5,0,0,0
2021,67737,Maliyah Johnson,Texas A&M,1,2,0,0,2,0,0,4,0,0,0,0
2021,67746,Jessika Schiffer,Buffalo,0,3,0,3,12,1,27,51,25,0,0,0
2021,67747,Kristyna Jeskeova,Long Beach St.,14,9,5,2,2,2,11,39,11,0,0,0
2021,67756,Karsen Murphy,Montana,1,2,0,1,4,1,0,3,0,0,0,0
2021,67757,Sam Mitchell,UAB,5,7,0,2,6,1,22,37,22,0,0,0
2021,67759,Casey Valenti-Paea,Buffalo,1,2,0,0,0,0,2,5,2,0,0,0
2021,67760,Maya Johnson,Elon,7,10,3,6,16,5,0,0,0,0,0,0
2021,67770,Chanel Wilson,Indiana,1,0,1,0,1,0,1,4,1,0,0,0
2021,67771,Alma Elsnitz,California,4,4,2,0,1,0,0,2,0,0,0,0
2021,67787,Ava Interrante,Valparaiso,3,3,0,0,1,0,0,7,0,0,0,0
2021,67791,Deanay Watson,Southeast Missouri St.,15,11,11,5,22,5,1,0,1,0,0,0
2021,67799,Tierney Coleman,Oral Roberts,36,52,9,22,63,5,25,42,18,0,0,0
2021,67804,Jakhyia Davis,East Tennessee St.,47,43,28,18,34,12,9,22,9,1,0,0
2021,67805,Kyla McMakin,Longwood,54,35,16,50,138,17,50,126,36,0,0,0
2021,67806,Erin Fox,Marist,2,3,1,0,1,0,0,1,0,0,0,0
2021,67808,Adriana Shipp-Davis,Longwood,47,48,22,12,30,3,17,70,16,0,0,0
2021,67813,Bella Murekatete,Washington St.,77,66,56,10,35,8,0,0,0,1,0,1
2021,67814,Caitlin McGee,Mississippi,22,20,17,3,8,2,3,7,3,0,0,0
2021,67815,Snudda Collins,Mississippi,7,9,1,12,46,7,43,71,43,0,0,0
2021,67818,Cheyenne Givens,Pepperdine,33,54,2,22,43,3,11,37,6,0,0,0
2021,67821,Breaunna Gillen,Utah Tech,3,3,0,2,9,1,0,1,0,0,0,0
2021,67827,Teaghan Flaherty,Georgetown,0,0,0,0,1,0,2,11,2,0,0,0
2021,67828,Yasmin Ott,Georgetown,3,12,0,19,60,3,14,44,11,0,0,0
2021,67829,Taylia Stimpson,Georgetown,2,5,1,5,9,3,2,12,1,0,0,0
2021,67839,Mackenzie Amalia,Robert Morris,5,10,0,0,3,0,13,25,10,0,0,0
2021,67840,Gigi Gonzalez,Stony Brook,15,7,2,2,8,0,5,18,3,0,0,0
2021,67844,Sol Castro,Robert Morris,29,20,14,41,55,14,3,13,2,0,0,0
2021,67845,Jordan Olivares,Sacramento St.,44,43,7,6,10,0,14,37,8,0,0,0
2021,67846,Siobhan Ryan,Richmond,23,23,10,2,2,1,15,51,15,0,0,0
2021,67848,Grace Townsend,Richmond,26,43,5,7,5,0,11,14,8,0,0,0
2021,67850,Keona Schenck,Illinois Chicago,26,12,12,5,11,1,29,72,28,0,0,0
2021,67851,Jaida McCloud,Illinois Chicago,43,34,18,20,24,7,3,21,3,0,0,0
2021,67853,Clare Traeger,Binghamton,12,13,4,13,40,3,4,12,4,0,0,0
2021,67855,Uju Ezeudu,Denver,82,50,28,20,27,7,17,47,16,0,0,0
2021,67856,Jada Peebles,Illinois,15,10,4,52,90,24,34,76,28,0,0,0
2021,67859,Jessika Evans,Tulsa,9,17,6,14,24,12,15,46,15,0,0,0
2021,67862,Taisiya Kozlova,Maryland,5,4,5,2,6,1,9,11,8,0,0,0
2021,67867,Jazmyn Doster,George Mason,43,29,30,8,44,5,0,0,0,0,0,0
2021,67870,Kirsten Deans,West Virginia,49,37,16,32,52,8,44,62,36,0,0,0
2021,67872,Alissa Pili,USC,30,33,21,15,22,10,9,21,8,0,0,0
2021,67882,Denai Bowman,Binghamton,40,30,13,54,102,16,0,4,0,0,0,0
2021,67883,India Otto,USC,0,0,0,0,0,0,2,3,2,0,0,0
2021,67886,Leilani Correa,St. John's,63,42,35,50,94,21,31,89,28,0,0,0
2021,67888,Liz Smith,Pacific,3,1,0,1,6,0,11,20,7,0,0,0
2021,67892,Jaye Haynes,La Salle,16,17,7,3,16,1,7,13,7,0,0,0
