season,player,team,source_conference,class,A10,ACC,AE,AMER,ASUN,B10,B12,BE,BSKY,BSTH,BW,CAA,CUSA,HORZ,IND,Ivy,MAAC,MAC,MEAC,Mountain West,MVC,NEC,OVC,P12,PAT,SB,SC,SEC,SLND,SUM,SWAC,WAC,WCC
2026,Aimee Flippen,Abilene Christian,WAC,Sophomore,C-,D+,C-,C,B+,D+,D+,C,B-,B+,B,D+,C+,C+,B-,B,B+,B-,C,C+,C+,B-,C-,C-,C-,C+,D+,D+,C-,B,B+,D+,B-
2026,Emma Daugherty,Abilene Christian,WAC,Freshman,C,D+,C-,C-,B,D+,D+,C,B-,B+,B,D+,C,C+,C+,B-,B+,B-,C-,C+,C+,C+,D+,D+,C-,C+,D+,D+,C-,B,B+,D+,B-
2026,Emma Troxell,Abilene Christian,WAC,Junior,B-,C-,A,B-,B+,C,C,C+,C+,A+,A,A-,B,B+,B,B,A,B+,A,B,B,A+,A-,C-,A,B+,A-,C-,A,B+,A,B,B
2026,Erin Woodson,Abilene Christian,WAC,Junior,B,C+,A,B+,A,C+,C+,B,B-,A+,A+,A,B+,A,B+,B+,A,A,A+,B+,B+,A+,A,C+,A,A-,A,C+,A,A-,A+,B+,B+
2026,Jazmyn Stone,Abilene Christian,WAC,Junior,D,D-,D,D-,C-,F,D-,D-,D-,B-,C+,D,D,C,D+,C-,D+,C-,D+,D+,D+,C,D,F,D,D+,D,F,D+,D+,D+,D,D+
2026,Meredith Mayes,Abilene Christian,WAC,Junior,A,B+,A+,A+,A+,B+,B+,A-,A,A+,A+,A+,A+,A+,A,A,A+,A+,A+,A+,A,A+,A+,B+,A+,A+,A+,B,A+,A+,A,A+,A
2026,Payton Hull,Abilene Christian,WAC,Junior,B+,B-,A+,A-,A,B-,B-,B,B,A+,A+,A+,A-,A+,B+,A-,A+,A,A+,A-,B+,A+,A+,C+,A+,A,A+,C+,A+,A-,A+,A-,A-
2026,Riley Grohman,Abilene Christian,WAC,Freshman,C+,D,B,C,B,D,D+,C-,D+,A,A-,C,C+,B-,C+,B-,A-,B,B,C+,C+,A-,B,D,B,B-,B-,D,B,B-,B,C+,B-
2026,Alexis Cortez,Air Force,MWC,Junior,C-,D-,C+,D+,C+,D,D,D+,D,B+,B,C,C-,C+,C+,C+,B,C+,B-,C,C,B,C+,D-,C+,C,C+,D-,B-,C+,B-,C-,C
2026,Bhret Clay,Air Force,MWC,Freshman,C,D,B-,C-,B-,D,D,D+,D,B+,B+,C+,C,C+,C+,C+,B,B-,B,C,C,B+,B-,D-,B-,C+,B-,D-,B,C+,B,C,C
2026,Jayda McNabb,Air Force,MWC,Junior,B,C,A,B,B+,C,C,B-,C+,A+,A+,A,B+,A-,B,B,A,A-,A+,B,B,A+,A,C-,A,B+,A,C,A,B+,A,B,B+
2026,Jordyn DeVaughn,Air Force,MWC,Junior,D,D-,C-,D,C-,D-,D-,D-,D-,B-,C+,D+,D,C,C-,C-,C-,C,C,D+,D+,B-,C-,F,C-,D+,D+,F,C-,D+,C,D,D+
2026,Julia Leach,Air Force,MWC,Freshman,C+,C,B+,B-,B+,C,C,C+,B,A-,A-,C,B-,B,B+,B+,A-,B,B+,B,B,A,B+,C+,B+,B-,B,C,B+,B+,A,C,B
2026,Keelie O'Hollaren,Air Force,MWC,Junior,C-,D-,B,D+,C+,D,D,D+,D,B+,B,B-,C,B-,C+,C+,B,C+,B,C,C,A-,B,D-,B,C+,B-,D-,B,C+,B,C-,C
2026,Madelyn Jensen,Air Force,MWC,Freshman,D+,D,D-,D+,B-,D,D,D+,C+,B-,B-,D,C-,C,C,B-,B,C+,D,C,C,D+,D-,D,D-,C-,D-,D,D,B-,B+,D,C+
2026,Marissa Hargrave,Air Force,MWC,Junior,D-,F,D,D-,D,F,F,D-,D-,C,C-,D-,D-,C,D,D,D,D+,D,D,D-,D+,D-,F,D,D-,D-,F,D,D-,D,D-,D-
2026,Corinne Reed,Akron,MAC,Freshman,D-,F,C-,D-,D+,F,F,D-,D-,B-,C+,D+,D,D+,D+,D+,C-,C,C,D,D,C+,C-,F,C-,D,D+,F,C-,D+,C,D,D
2026,Ella Wigal,Akron,MAC,Junior,C,D+,C,C,B+,D+,C-,C,B-,B+,B+,C-,C+,C+,C+,B,B+,B-,C+,C+,B-,B,C,C-,C+,C+,C,C-,C+,B,A-,D+,B-
2026,Izzy Callaway,Akron,MAC,Sophomore,D+,D-,C+,D,C,D-,D-,D,D,B+,B-,C,D+,C+,C-,C,B-,C+,B-,D+,D+,B,C+,D-,C+,C-,C+,F,B-,C,B-,D+,C-
2026,Keiryn McGuff,Akron,MAC,Junior,C,D,B,C-,B-,D,D,D+,D+,A-,B+,B-,C+,B-,C+,C+,B,B-,B,C,C+,B+,B-,D-,B,C+,B-,D-,B,C+,B,C,C+
2026,Liz Murphy,Akron,MAC,Sophomore,C,D,B,C-,B-,D,D,D+,D+,A-,B+,B,C,B-,C,C+,B,B-,B+,C,C+,A-,B,D-,B,C+,B,D-,B,C+,B,C,C+
2026,Monique Mitchell,Akron,MAC,Freshman,D+,D-,B,D,C+,D-,D-,D,D,B+,B-,B-,D+,B-,C,C,B,C+,B,D+,C-,B+,B-,D-,B-,C-,B-,F,B,C,B,D+,C-
2026,Ni'Rah Clark,Akron,MAC,Sophomore,D+,D-,C+,D,C+,D-,D-,D,D,B+,B-,C,D+,B,C-,C,B-,C+,B-,D+,C-,B,C+,D-,C+,C-,C+,F,C+,C,B-,D+,C-
2026,Shaena Brew,Akron,MAC,Freshman,C-,D-,C+,D+,C+,D-,D-,D,D,B+,B,C,C-,C+,C,C,C+,C+,B-,C-,C-,B+,C+,D-,C+,C,C+,F,B-,C+,B-,C-,C-
2026,Teniesha Clarke,Akron,MAC,Junior,D,D-,F,D,C+,D-,D-,D,C-,C+,C+,D,D,D+,C-,C+,C+,C,F,C-,D+,F,F,D-,F,D+,F,D-,F,C+,B-,D-,C-
2026,Ace Austin,Alabama,SEC,Freshman,A-,B,A+,A,A,B,B,B+,B+,A+,A+,A,A,A,A-,A,A+,A+,A+,A,A,A+,A,B-,A+,A,A,B,A,A,A,A,A
2026,Alancia Ramsey,Alabama,SEC,Junior,B,B-,A+,B+,A,B-,B-,B,A-,A,A,B-,B+,B+,A-,A-,A,A-,A+,B+,B+,A+,A+,B-,A+,B+,A+,B-,A+,A-,A+,B-,A-
2026,Diana Collins,Alabama,SEC,Junior,B+,B-,A,A-,A,B-,B-,B,B,A+,A+,A,A-,A-,B+,A-,A,A+,A+,A-,A-,A+,A,C+,A,A,A,C+,A,A-,A+,A-,A-
2026,Essence Cody,Alabama,SEC,Junior,A+,A-,A+,A+,A+,B+,A-,A,A,A+,A+,A+,A+,A+,A,A+,A+,A+,A+,A+,A+,A+,A+,A-,A+,A+,A+,B+,A+,A+,A+,A+,A+
2026,Lourdes Da Silva Costa,Alabama,SEC,Freshman,C+,C-,B,C+,A-,C-,C,C+,B,B+,A-,C,B-,B-,B-,B,A-,B,B,B-,B-,B+,B-,C,B-,B-,B-,C,B,B+,A,C-,B
2026,Naomi Jones,Alabama,SEC,Sophomore,A-,B,A+,A,A,B-,B,B+,B+,A+,A+,A+,A,A+,A-,A-,A+,A+,A+,A,A-,A+,A+,B-,A+,A,A+,B-,A+,A,A+,A,A-
2026,Aniya Palmer,Alabama A&M,SWAC,Junior,C-,D-,B,D+,C+,D-,D,D+,D,B+,B,B-,C,B-,C+,C+,B,C+,B,C-,C-,B+,B-,D-,B-,C+,B-,D-,B,C+,B,C-,C
2026,Chrystianna Whitehead,Alabama A&M,SWAC,Junior,C-,D,D,C-,B,D,D+,C-,C+,B,B,D+,C,C+,C-,B-,B,C+,D+,C+,C+,C,D,D+,D,C,D,D,D+,B,B,D,C+
2026,Coriah Beck,Alabama A&M,SWAC,Junior,D+,D-,C+,D+,C+,D-,D-,D,D,B+,B,C,C-,C,C,C,B-,C+,B-,C-,C-,B+,C+,D-,C+,C,C+,F,B-,C+,B-,D+,C-
2026,Kalyn Ervin,Alabama A&M,SWAC,Junior,C,D+,C-,C,B+,D+,D+,C,B-,B+,B,D+,C+,C+,C+,B-,B,B-,C,C+,C+,B-,C-,D+,C-,C+,D+,D+,C-,B,B+,D+,B-
2026,Kamiyha Griffin,Alabama A&M,SWAC,Sophomore,C,D+,C,C,B+,D+,C-,C,B-,B+,B,D+,C+,C+,C+,B,B+,B-,C+,C+,B-,B-,C-,C-,C,C+,C-,D+,C,B,B+,D+,B-
2026,Rakiyah Beal,Alabama A&M,SWAC,Sophomore,C-,D-,B-,D+,C+,D,D,D+,D,B+,B,C+,C,C+,C+,C+,B,C+,B-,C,C,B+,C+,D-,B-,C,C+,D-,B-,C+,B-,C-,C
2026,Sumayah McIntosh,Alabama A&M,SWAC,Freshman,D-,F,D,D-,D,F,F,D-,D-,C,C,D,D-,C,D,D,D+,D+,D,D,D,C-,D,F,D,D,D,F,D,D,D,D-,D-
2026,Vanessa Wimberly,Alabama A&M,SWAC,Freshman,C-,D-,B-,D+,C+,D,D,D+,D,B+,B,D+,C,C+,C,C+,B,C+,B,C,C,B+,B-,D-,B-,C+,C+,D-,B-,C+,B-,C-,C
2026,Alanah Pooler,Alabama St.,SWAC,Junior,C+,D,C+,C,B,D,D+,C-,D+,A,A-,C,C+,C,B-,B-,C+,B,B-,C+,C+,B,C+,D,C+,B-,C+,D,B-,B-,B-,C+,B-
2026,Caylee Simpson,Alabama St.,SWAC,Junior,C-,D-,B-,D+,B-,D,D,D+,D,B+,B,C+,C,C+,C+,C+,B-,C+,B,C,C,B+,B-,D-,B-,C+,B-,D-,B-,C+,B,C,C
2026,Charlese McClendon,Alabama St.,SWAC,Junior,D-,F,C+,D-,D,F,F,D-,D-,C+,C,C-,D-,C,D,D,C+,D+,C+,D-,D,B,C+,F,C+,D,C,F,C+,D,C+,D-,D-
2026,Clearia Peterson,Alabama St.,SWAC,Sophomore,C,D,B+,C-,B-,D,D,D+,D,A-,B+,B,C+,B,C+,C+,B+,C+,B+,C,C,A,B,D-,B+,C+,B,D-,B+,C+,B+,C,C
2026,Meagan Scott,Alabama St.,SWAC,Freshman,D,D-,D-,D,C+,D-,D,D,C,C+,C+,D,D+,C-,C,C+,C+,C,F,C-,C-,D-,F,D,F,D+,F,D-,F,C+,B,D-,C
2026,Ny'Keria Flowers,Alabama St.,SWAC,Freshman,D-,F,D,D-,D,F,F,D-,D-,C,C-,D,D-,D-,D,D,D,D+,D,D-,D-,C-,D,F,D,D-,D,F,D,D-,D,D-,D-
2026,Shamya Reid,Alabama St.,SWAC,Junior,D-,F,D+,D-,D+,F,F,D-,D-,C+,C,D,D-,D,D,D+,D+,C-,D+,D,D,C,D,F,D+,D,D,F,D+,D,D+,D-,D
2026,Takaya Walters-Norman,Alabama St.,SWAC,Junior,C,C-,C,C,B+,D+,C-,C,B-,B+,B+,C-,C+,C+,B-,B,B+,B-,C+,B-,C+,B,C,C-,C,B-,C-,C-,C,B,B+,D+,B
2026,Amaya Stewart,Albany,AE,Freshman,C+,D,B,C,B-,D,D+,C-,D+,A-,A-,C+,C+,B,B-,B-,A-,B,B,C+,C+,B+,B-,D,B-,B-,B-,D,B,B-,B,C+,C+
2026,Anais Levasseur,Albany,AE,Freshman,C+,C-,C+,C,B+,C-,C-,C+,B-,B+,B+,C-,C+,B-,C+,B,B+,B-,B-,B-,B-,B,C+,C-,C+,B-,C+,C-,C+,B,A-,D+,B
2026,Delanie Hill,Albany,AE,Sophomore,B,C+,A,B+,A-,C+,C+,B-,B-,A+,A+,A-,B+,B+,B,B+,A-,A-,A,B+,B+,A+,A-,C,A,A-,A-,C,A,B+,A,B+,B+
2026,Lara Langermann,Albany,AE,Junior,D,F,C-,D-,D+,F,F,D-,D-,B-,C+,D+,D,D+,D+,D+,C-,C,C,D,D,B-,C-,F,C-,D+,D+,F,C-,D+,C,D,D
2026,Martina Borrellas,Albany,AE,Sophomore,C,D,B-,D+,B-,D,D,D+,D,B+,B,C+,C,C+,C+,C+,B-,B-,B,C,C,B+,B-,D-,B-,C+,C+,D-,B-,C+,B,C,C
2026,Arene Iyekekpolor,Alcorn St.,SWAC,Junior,D-,F,D,F,D,F,F,F,D-,C-,C-,D-,D-,D-,D,D,D,D+,D,D,D-,D+,D-,F,D-,D-,D-,F,D,D-,D,D-,D-
2026,Chrishunti Walker,Alcorn St.,SWAC,Sophomore,D-,F,D-,D-,D,F,F,D-,D-,C,C-,D-,D-,D-,D+,D,D-,D+,D-,D,D,D+,D-,F,D-,D-,D-,F,D-,D,D-,D-,D-
2026,Dalayja Hurt-Floyd,Alcorn St.,SWAC,Junior,D-,F,C-,D-,D+,F,F,D-,D-,C+,C,D+,D-,D+,D,D+,C-,D+,C,D+,D,C+,C-,F,C-,D,D+,F,C-,D,C,D-,D
2026,Jazlyn Johnson,Alcorn St.,SWAC,Freshman,C,D+,C-,C,B,D+,D+,C,B-,B+,B,D+,C+,C+,C,B-,B+,B-,C,C+,C+,B-,C-,D+,C-,C+,D+,D+,C-,B,B+,D+,B-
2026,Lauren Nelson,Alcorn St.,SWAC,Junior,D-,F,D,F,D,F,F,D-,D-,C,C-,D-,D-,D-,C-,D,D,D+,D,D-,D-,C-,D,F,D,D-,D,F,D,D-,D,D-,D-
2026,Leyah Houston,Alcorn St.,SWAC,Junior,C,D+,C-,C-,B+,D+,D+,C,B-,B+,B,D+,C+,C+,C,B-,B,B-,C-,C+,C+,C+,D+,D+,C-,C+,D+,D+,C-,B,B+,D+,B-
2026,Charlotte Tuhy,American,Pat,Freshman,C-,D-,B+,D+,C+,D,D,D+,D,B+,B,B,C,B,C+,C+,B,C+,A-,C,C,A,B,D-,B+,C+,B,D-,B+,C+,B+,C-,C
2026,Elizabeth Archer,American,Pat,Sophomore,D-,F,D+,D-,D+,F,F,D-,D-,C+,C,D,D-,C,D+,D,D+,D+,D+,D,D,C,D,F,D,D-,D,F,D+,D,D+,D-,D
2026,Ellie Pingree,American,Pat,Sophomore,C,C-,C+,C,B+,D+,C-,C,B-,B+,B+,C-,C+,B-,C+,B,B+,B-,C+,C+,B-,B,C+,C-,C+,B-,C,C-,C+,B,A-,D+,B
2026,Grace Koepke,American,Pat,Junior,C+,C-,C,C,B+,C-,C-,C,B-,B+,B+,C-,C+,C+,B-,B,B+,B-,C+,C+,B-,B,C,C-,C,C+,C,C-,C+,B,B+,D+,B
2026,Kayla Greyvensteyn,American,Pat,Freshman,C,D+,C-,C-,B,D+,D+,C,B-,B+,B,D+,C+,C+,C+,B-,B,B-,C,C+,C+,C+,C-,D+,C-,C+,D+,D+,C-,B,B+,D+,B-
2026,Lexi Salazar,American,Pat,Junior,D-,F,D-,F,D-,F,F,F,F,C-,D+,D-,D-,D-,D,D,D,D+,D,D-,D-,D+,D-,F,D-,D-,D-,F,D,D-,D,D-,D-
2026,Madisyn Moore-Nicholson,American,Pat,Sophomore,D-,F,D,D-,D,F,F,D-,D-,C,C-,D,D-,C,D+,D,D+,D+,D+,D-,D-,C,D,F,D,D-,D,F,D+,D-,D+,D-,D-
2026,Mary Bolesky,American,Pat,Sophomore,D,D-,F,D,C,D-,D-,D,C-,C+,C+,D-,D,D+,D+,C+,C+,C,F,D+,D+,F,F,D-,F,D,F,D-,F,C+,B-,D-,C-
2026,Molly Driscoll,American,Pat,Sophomore,D,D-,C+,D-,C-,F,D-,D-,D-,B-,C+,C,D,C,C,C-,B-,C,B-,D+,D+,B+,C+,F,C+,D+,C+,F,B-,D+,B-,D,D+
2026,Addie Biel,Appalachian St.,SB,Freshman,C+,D,C,C,B,D,D+,C-,D+,A,A-,C-,C+,C-,C+,B-,B-,B,C+,C+,C+,B,C,D,C+,B-,C,D,C+,B-,C+,C+,B-
2026,Daisia Mitchell,Appalachian St.,SB,Junior,C+,D,B+,C,B-,D,D+,C-,D+,A-,A-,B,C+,B,B-,B-,B,B,B+,C+,C+,A,B,D,B+,B-,B,D,B+,B-,B+,C+,C+
2026,Feryal Defne Atli,Appalachian St.,SB,Sophomore,C-,D-,C+,D+,C+,D-,D,D+,D,B+,B,C,C-,C-,C+,C+,B,C+,C+,C-,C-,B,C+,D-,C+,C,C,D-,C+,C+,C+,C-,C
2026,Isa Roman,Appalachian St.,SB,Freshman,D,D-,D-,D,C+,D,D,D+,C,B-,B-,D,D+,C-,C-,C+,B-,C,D-,C-,C-,D-,F,D,F,D+,F,D-,D-,C+,B,D-,C
2026,Jayden McBride,Appalachian St.,SB,Sophomore,C,D,B-,C-,C+,D,D,D+,D,B+,B,C-,C,C+,C+,C+,B-,B-,B,C,C,B+,B-,D-,B-,C+,C+,D-,B-,C+,B-,C,C
2026,Marta Gutierrez,Appalachian St.,SB,Junior,C+,C-,B-,C+,B,C-,C-,C+,B-,B+,B+,C-,C+,B-,C+,B,B+,B,B-,B-,B-,B+,C+,C-,B-,C+,C+,C-,B-,B,A-,C-,B
2026,Riley Stoker,Appalachian St.,SB,Freshman,C+,D+,B,C+,B,D+,D+,C,C-,A,A,B-,B-,B-,B-,B-,A-,B,B+,B-,B-,A-,B,D,B,B,B,D+,B,B,B,B-,B-
2026,Achol Magot,Arizona,B12,Sophomore,D+,D,D-,D+,B,D,D,D+,C,B-,B-,D,C-,C-,C+,B-,B,C+,D-,C,C,D,D-,D,D-,C-,F,D,D-,B-,B,D,C+
2026,Blessing Adebanjo,Arizona,B12,Sophomore,C+,C,B,B-,A-,C,C,C+,B,A-,A-,C,B-,B-,B,B+,A-,B,B+,B,B-,A-,B,C+,B,B,B,C+,B,B+,A,C,B+
2026,Daniah Trammell,Arizona,B12,Freshman,C-,D-,B-,D+,C+,D,D,D+,D,B+,B,C,C,B-,C+,C+,B-,C+,B,C,C,B+,B-,D-,B-,C,C+,D-,B-,C+,B,C-,C
2026,Kamryn Kitchen,Arizona,B12,Sophomore,C+,D,B+,C+,B,D+,D+,C,D+,A,A-,C,C+,B-,B-,B-,B+,B,B+,C+,C+,A,B,D,B+,B-,B,D,B+,B-,B+,C+,B-
2026,Mireia Jurado,Arizona,B12,Freshman,C+,D,B,C-,C+,D,D,C-,D+,A-,B+,C+,C+,B-,C+,C+,B+,B-,B,C+,C+,B+,B-,D-,B-,C+,B-,D,B,C+,B,C,C+
2026,Molly Ladwig,Arizona,B12,Freshman,C+,D+,B+,C+,B,D+,D+,C,C-,A,A-,C+,B-,B-,B-,B-,B+,B,A-,C+,B-,A,B+,D,B+,B-,B+,D,B+,B-,B+,C+,B-
2026,Sumayah Sugapong,Arizona,B12,Junior,B-,C-,A,B-,B+,C-,C-,C+,C+,A+,A,B-,B,B,B,B,A,B+,A,B,B,A+,A,D+,A,B+,A,C-,A,B,A,B,B
2026,Tanyuel Welch,Arizona,B12,Junior,B-,C-,A,B-,B+,C,C,C+,C+,A+,A,A-,B,B,B,B,B+,B+,A,B,B,A+,A-,D+,A,B+,A-,C-,A,B+,A,B,B
2026,Amaya Williams,Arizona St.,B12,Freshman,B-,C-,B+,B-,B+,C-,C-,C+,C,A+,A,B+,B,B,B,B,B+,B+,A-,B,B-,A,B+,D+,A-,B,B+,D+,A-,B,A,B,B
2026,Deborah Davenport,Arizona St.,B12,Junior,B,C+,A+,B+,A-,C+,C+,B-,B-,A+,A+,A+,B+,B+,B+,B+,A-,A-,A+,B+,B+,A+,A,C+,A+,A-,A,C+,A+,B+,A+,B+,B+
2026,Gabby Elliott,Arizona St.,B12,Junior,A-,B,A+,A,A,B-,B,B+,B+,A+,A+,A+,A-,A+,A-,A-,A+,A+,A+,A,A-,A+,A+,B-,A+,A,A+,B-,A+,A,A+,A,A-
2026,Heloisa Carrera,Arizona St.,B12,Freshman,B+,B-,A,A-,A,B-,B-,B+,B,A+,A+,A,A-,A,B+,A-,A+,A+,A+,A-,A-,A+,A,B-,A,A,A,B-,A,A-,A-,A-,A-
2026,Jyah LoVett,Arizona St.,B12,Junior,B,C,A,B,A-,C,C,B-,C+,A+,A+,A-,B+,B+,B,B,B+,A-,A,B,B,A+,A-,C-,A,B+,A-,C,A,B+,A+,B,B+
2026,Martina Fantini,Arizona St.,B12,Freshman,C+,C,B+,B-,A-,C,C,C+,B,A-,A-,C,B-,B,B,B+,A-,B,B+,B,B-,A,B,C+,B+,B,B,C,B+,B+,A,C,B+
2026,McKinna Brackens,Arizona St.,B12,Sophomore,A-,B,A+,A,A,B,B,B+,B+,A+,A+,A+,A,A+,A-,A,A+,A+,A+,A,A,A+,A+,B-,A+,A,A+,B,A+,A,A+,A,A
2026,Ashlynn Chlarson,Arkansas,SEC,Junior,C+,D+,B-,C+,B,D+,D+,C,C-,A,A-,C+,C+,C+,B-,B-,B,B,B-,C+,C+,B+,C+,D,B-,B-,C+,D,B-,B-,B-,C+,B-
2026,Bonnie Deas,Arkansas,SEC,Freshman,B-,C-,A-,B-,B+,C-,C,C+,C+,A+,A,B+,B,B,B,B,A-,B+,A,B,B,A,B+,C-,A-,B+,B+,C-,A-,B+,A-,B,B
2026,Cristina Sánchez Cerqueira,Arkansas,SEC,Junior,C,D+,C+,C,B,D+,C-,C,B-,B+,B+,C-,C+,B-,C+,B,B+,B-,C+,C+,B-,B,C+,C-,C+,C+,C,C-,C+,B,A-,D+,B
2026,Danika Galea,Arkansas,SEC,Sophomore,C+,C-,B,C+,A-,C-,C,C+,B,B+,A-,C,B-,B-,B-,B,A-,B,B,B,B-,A-,B,C,B,B-,B-,C,B,B+,A,C-,B
2026,Emily Robinson,Arkansas,SEC,Junior,B-,C-,B+,B-,B+,C,C,C+,C+,A+,A,B+,B,B,B,B,B+,B+,A-,B,B,A,B+,D+,A-,B+,B+,C-,A-,B+,A,B,B
2026,Harmonie Ware,Arkansas,SEC,Freshman,C+,D+,B,C+,B,D+,D+,C,C-,A,A-,C+,C+,B-,B-,B-,B+,B,B,C+,C+,A-,B,D,B,B-,B-,D,B,B-,B,C+,B-
2026,Jada Bates,Arkansas,SEC,Sophomore,C+,D,B-,C,B-,D,D,C-,D+,A-,B+,C+,C+,C+,B-,C+,B+,B-,B,C+,C+,B+,B-,D-,B-,C+,C+,D,B-,C+,B,C,C+
2026,Jenna Lawrence,Arkansas,SEC,Junior,B+,C+,A+,A-,A,C+,C+,B,B-,A+,A+,A+,A-,A,B+,B+,A-,A,A+,A-,B+,A+,A+,C+,A+,A-,A+,C+,A+,A-,A+,B+,A-
2026,Maria Anais Rodriguez,Arkansas,SEC,Sophomore,C+,D,B+,C,B-,D,D+,C-,D+,A-,A-,C,C+,B-,B-,B-,B+,B-,B+,C+,C+,A,B,D,B+,B-,B,D,B+,B-,B+,C+,C+
2026,Maryn Archer,Arkansas,SEC,Junior,C+,C-,B,C+,A-,C-,C,C+,B,B+,A-,C,B-,B-,C+,B,A-,B,B,B-,B-,A-,B,C,B,B-,B-,C,B,B+,A,C-,B
2026,Indiya Bowen,Arkansas Pine Bluff,SWAC,Junior,D,F,C+,D-,C-,F,D-,D-,D-,B-,C+,C,D,C,D+,C-,C+,C-,B-,D,D+,B,C+,F,C+,D+,C+,F,C+,D+,B-,D,D+
2026,Jailah Pelly,Arkansas Pine Bluff,SWAC,Junior,D+,D-,B-,D,C,D-,D-,D,D,B+,B-,C+,D+,C+,C-,C,B-,C+,B,D+,D+,B+,B-,D-,B-,C-,C+,F,B-,C,B-,D+,C-
2026,Jakyra Jackson,Arkansas Pine Bluff,SWAC,Freshman,D,D-,C,D,C-,D-,D-,D-,D-,B,C+,C-,D,C-,D+,C-,C,C,C+,D+,D+,B-,C,F,C,D+,C-,F,C,D+,C+,D,D+
2026,Jasmine Davis,Arkansas Pine Bluff,SWAC,Junior,D-,F,D+,F,D-,F,F,F,F,C-,D+,D,D-,D,D,D,C-,D,C-,D-,D-,C+,D+,F,D+,D-,D+,F,D+,D-,C-,D-,D-
2026,Jayla Cornelius,Arkansas Pine Bluff,SWAC,Sophomore,D-,F,D,F,D,F,F,D-,D-,C-,C-,D-,D-,D-,D-,D,D,D+,D,D,D-,C-,D-,F,D,D-,D-,F,D,D-,D,D-,D-
2026,Khaniah Gardner,Arkansas Pine Bluff,SWAC,Junior,C-,D-,C,D+,C+,D-,D,D+,D,B+,B,D+,C,D+,C-,C+,C,C+,C+,C-,C,B-,C-,D-,C,C+,C-,D-,C,C+,C+,C-,C
2026,Tyra Taylor,Arkansas Pine Bluff,SWAC,Freshman,D-,F,D-,F,D-,F,F,F,F,C-,D+,D-,D-,D-,D+,D,D-,D,D-,D-,D-,D+,D-,F,D-,D-,D-,F,D-,D-,D-,D-,D-
2026,Aniyah Ruddock,Arkansas St.,SB,Junior,B-,D+,B+,B-,B,C-,C-,C+,C,A+,A,B,B-,B,B-,B-,A-,B+,B+,B-,B-,A,B,D+,B+,B,B,D+,B+,B,A,B-,B
2026,Crislyn Rose,Arkansas St.,SB,Junior,B+,C+,A,B+,A-,C+,C+,B,B-,A+,A+,A-,B+,B+,B+,B+,A,A,A,B+,B+,A+,A-,C+,A,A-,A-,C+,A,A-,A,B+,A-
2026,D'Arrah Allen,Arkansas St.,SB,Junior,B-,D+,B+,B-,B+,C-,C-,C+,C,A+,A,C+,B-,B,B,B-,A-,B+,B+,B-,B-,A,B,D+,B+,B,B,D+,B+,B,A,B-,B
2026,Marlie Dickerson,Arkansas St.,SB,Junior,B-,D+,B+,B-,B+,C-,C-,C+,C,A+,A,B,B-,B,B-,B-,B+,B+,A-,B-,B-,A,B+,D+,B+,B,B+,D+,B+,B,A,B-,B
2026,Mia Tarver,Arkansas St.,SB,Junior,B,C,A+,B,A-,C,C,B-,C+,A+,A+,A+,B,B+,B,B,A-,A-,A+,B,B,A+,A,C-,A+,B+,A,C-,A,B+,A+,B,B+
2026,Yves Cox,Arkansas St.,SB,Sophomore,B-,C-,B+,B-,B+,C-,C-,C+,C,A+,A,B+,B,B,B,B,B,B+,A-,B-,B-,A,B+,D+,B+,B,B+,D+,B+,B,A,B-,B
2026,Brooke Wilson,Army,Pat,Sophomore,C-,D-,C+,D+,C+,D-,D-,D,D,B+,B,D+,C-,B-,C,C+,B,C+,B-,C-,C-,B+,C+,D-,C+,C,C+,F,B-,C+,B-,C-,C
2026,Camryn Tade,Army,Pat,Junior,A-,B,A+,A,A,B,B,B+,B+,A+,A+,A+,A,A+,A-,A,A+,A+,A+,A,A,A+,A+,B-,A+,A,A+,B,A+,A,A+,A,A
2026,Fiona Hastick,Army,Pat,Junior,D+,D-,C,D+,C-,D-,D-,D,D,B+,B-,D,D+,C+,C,C,B,C+,C+,C-,C-,B-,C,D-,C,C-,C-,F,C,C,C+,D+,C-
2026,Kya Smith,Army,Pat,Junior,A-,B-,A+,A,A,B-,B,B+,B+,A+,A+,A+,A,A+,A-,A-,A+,A+,A+,A,A-,A+,A+,B-,A+,A,A+,B-,A+,A,A+,A,A-
2026,Reganne Reardon,Army,Pat,Freshman,C-,D-,C+,D+,C+,D,D,D+,D,B+,B,C,C,B-,C+,C+,B+,C+,B-,C,C,B,C+,D-,C+,C,C+,D-,B-,C+,B-,C-,C
2026,Soleil Montrose,Army,Pat,Junior,D+,D-,C,D+,C+,D-,D-,D,D,B+,B,D+,C-,C,C,C,B-,C+,C+,C-,C-,B-,C-,D-,C,C-,C-,F,C,C,C+,D+,C-
2026,Stella Chartrand,Army,Pat,Sophomore,C-,D+,D+,C-,B,D+,D+,C-,C+,B,B,D+,C,C+,C,B-,B,C+,C-,C+,C+,C+,D+,D+,D+,C,D,D+,D+,B,B+,D,B-
2026,Taylor Wilson,Army,Pat,Junior,C+,D,B-,C-,B-,D,D,C-,D+,A-,B+,C+,C+,C+,C+,C+,B,B-,B,C,C+,B+,B-,D-,B-,B-,B-,D,B-,B-,B,C,C+
