season,player,team,source_conference,class,A10,ACC,AE,AMER,ASUN,B10,B12,BE,BSKY,BSTH,BW,CAA,CUSA,HORZ,IND,Ivy,MAAC,MAC,MEAC,MVC,Mountain West,NEC,OVC,P12,PAT,SB,SC,SEC,SLND,SUM,SWAC,WAC,WCC
2021,Alice Stevenson,Abilene Christian,Slnd,Freshman,C,D+,C,C,B+,D+,C-,C,B-,B+,B,D+,C+,C+,C+,B,B+,B-,C+,C+,C+,B-,C-,C-,C,C+,C-,D+,C,B,B+,D+,B-
2021,Alyssa Adams,Abilene Christian,Slnd,Senior,B-,C+,B+,B-,A,C+,C+,B-,B,A-,A-,C+,B,B,B+,B+,A,B,A-,B,B,A,B+,C+,A-,B+,B+,C+,A-,B+,A,C,B+
2021,Anna McLeod,Abilene Christian,Slnd,Senior,B-,C+,B+,B-,A,C+,C+,B-,B,A-,A-,C+,B,B,B+,B+,A,B,A-,B,B,A,B+,C+,A-,B,B+,C+,A-,B+,A,C,B+
2021,Kamryn Mraz,Abilene Christian,Slnd,Sophomore,C-,D+,D,C-,B+,D+,D+,C-,C+,B,B,D+,C,C,C+,B-,B,C+,D+,C+,C+,C-,D,D+,D,C+,D,D+,D,B,B+,D,B-
2021,Katie Horyna,Abilene Christian,Slnd,Freshman,C-,D+,D+,C-,B,D+,D+,C-,C+,B,B,D+,C,C+,C,B-,B,C+,D+,C+,C+,C+,D+,D+,D+,C,D,D+,D+,B,B+,D,B-
2021,Madi Miller,Abilene Christian,Slnd,Junior,C+,C-,C+,C+,A-,C-,C,C+,B-,B+,B+,C-,C+,B-,B-,B,B+,B-,B-,B-,B-,B,C+,C-,C+,B-,C+,C,C+,B,A-,D+,B
2021,Makayla Mabry,Abilene Christian,Slnd,Senior,B-,C,B,B-,A-,C,C,C+,B,A-,A-,C,B-,B-,B,B,A-,B,B+,B,B,A-,B,C+,B+,B,B,C+,B+,B+,A,C,B+
2021,Paige Emborsky,Abilene Christian,Slnd,Junior,B-,C,B+,B-,A-,C,C+,B-,B,A-,A-,C+,B-,B,B-,B+,A-,B,A-,B,B,A,B+,C+,A-,B-,B+,C+,A-,B+,A,C,B+
2021,Sarah Griswold,Abilene Christian,Slnd,Sophomore,C+,C,B+,B-,A-,C,C,C+,B,A-,A-,C,B-,B-,B,B,A-,B,B+,B-,B,A,B,C+,B+,B,B,C+,B+,B+,A,C,B+
2021,Taylor Morgan,Abilene Christian,Slnd,Freshman,C-,D+,D,C-,B,D+,D+,C-,C+,B,B,D+,C,C,C+,B-,B,C+,D+,C+,C+,C,D,D+,D,C+,D,D+,D+,B,B+,D,B-
2021,Audrey Gadison,Air Force,MWC,Junior,B-,C+,A-,B-,A,C+,C+,B-,B+,A-,A,C+,B,B,B,B+,A,B+,A,B,B,A,A-,C+,A-,B,B+,C+,A-,B+,A,C,B+
2021,Briana Autrey-Thompson,Air Force,MWC,Junior,C+,C-,C+,C+,A-,C,C,C+,B-,B+,B+,C-,C+,B-,B,B,A-,B-,B-,B-,B-,B,C+,C-,C+,B-,C+,C,C+,B+,A-,D+,B
2021,Cierra Winters,Air Force,MWC,Junior,C+,C-,B-,C+,B+,C-,C-,C+,B-,B+,B+,C-,C+,B-,B-,B,A-,B,B-,B-,B-,B+,C+,C-,B-,C+,C+,C-,B-,B+,A-,C-,B
2021,Dasha Macmillan,Air Force,MWC,Freshman,C+,C-,B-,C+,B+,C-,C,C+,B,B+,A-,C,B-,B-,B-,B,A-,B,B,B-,B-,B+,B-,C,B-,B-,B-,C,B,B+,A,C-,B
2021,Emily Conroe,Air Force,MWC,Senior,B-,C+,A-,B-,A,C+,C+,B-,B+,A-,A,C+,B,B,B+,B+,A,B+,A,B,B,A,B+,C+,A-,B,B+,C+,A-,B+,A,C,B+
2021,Kaelin Immel,Air Force,MWC,Senior,C+,C-,C+,C+,A-,C,C,C+,B-,B+,B+,C-,C+,B-,B-,B,A-,B,B-,B-,B-,B+,C+,C-,B-,B-,C+,C,B-,B+,A-,C-,B
2021,Kamri Heath,Air Force,MWC,Sophomore,C,D+,C,C,B+,D+,C-,C,B-,B+,B+,C-,C+,C+,C+,B,B+,B-,C+,B-,C+,B-,C,C-,C,C+,C-,C-,C,B,B+,D+,B
2021,Kassady Huffman,Air Force,MWC,Senior,C+,C-,B-,C+,B+,C,C,C+,B-,B+,B+,C,C+,B-,B,B,B+,B,B,B-,B-,B+,B-,C,B-,B,C+,C,B-,B+,A-,C-,B
2021,Kayla Pilson,Air Force,MWC,Freshman,C-,D+,C-,C,B+,D+,C-,C,B-,B+,B,D+,C+,C+,C+,B,B+,B-,C,C+,C+,B-,C-,D+,C-,C+,D+,D+,C-,B,B+,D+,B-
2021,Nikki McDonald,Air Force,MWC,Sophomore,C+,C-,B,C+,A-,C,C,C+,B,B+,A-,C,B-,B-,B-,B,A-,B,B,B-,B-,A-,B,C,B,B-,B-,C,B,B+,A,C-,B
2021,Riley Snyder,Air Force,MWC,Junior,B-,C,B+,B-,A-,C+,C+,C+,B,A-,A-,C,B-,B-,B,B,A-,B,B+,B,B,A,B,C+,B+,B,B,C+,B+,B+,A,C,B+
2021,Alexis Stewart,Akron,MAC,Freshman,C-,D,D,D+,B,D,D+,C-,C+,B,B-,D,C-,C,C,B-,B,C+,D,C+,C,D+,D-,D,D-,C-,D-,D,D,B-,B+,D,C+
2021,Colleen Neitzel,Akron,MAC,Junior,C+,C-,C+,C+,B+,C-,C-,C+,B-,B+,B+,C-,C+,B-,B-,B,B+,B,B-,B-,B-,B,C+,C-,C+,B-,C+,C-,B-,B+,A-,C-,B
2021,Emma Tecca,Akron,MAC,Freshman,C+,C,B,C+,A-,C,C,C+,B,B+,A-,C,B-,B-,B-,B,A-,B,B+,B-,B,A-,B,C+,B,B,B,C,B,B+,A,C-,B
2021,Gabrielle Brown-Mitchell,Akron,MAC,Junior,C,D+,C,C,B+,D+,C-,C,B-,B+,B,D+,C+,C+,C+,B,B+,B-,C+,B-,C+,B-,C-,C-,C-,C+,C-,C-,C,B,B+,D+,B-
2021,Jordyn Dawson,Akron,MAC,Senior,B,B-,A,B,A,B-,B-,B-,B+,A,A,C+,B,B,A-,B+,A,B+,A+,B+,B+,A+,A,C+,A,B+,A,B-,A,A-,A,C+,A-
2021,Kendall Miller,Akron,MAC,Junior,C,D+,C-,C-,B+,D+,C-,C,C+,B,B,D+,C+,C+,C+,B-,B,B-,C-,C+,C+,C+,D+,D+,C-,C+,D+,D+,C-,B,B+,D+,B-
2021,Layne Ferrell,Akron,MAC,Freshman,B,B-,A+,B,A,C+,B-,B,B+,A,A,B-,B,B,B+,B+,A,B+,A+,B+,B+,A+,A,B-,A,B+,A,B-,A,A-,A,C+,A-
2021,Lonasia Brewer,Akron,MAC,Sophomore,B-,C,B,C+,A-,C,C,C+,B,B+,A-,C,B-,B-,B,B,A-,B,B,B-,B-,A-,B,C,B,B,B-,C,B,B+,A,C-,B
2021,Molly Neitzel,Akron,MAC,Sophomore,B-,C,B+,B-,A-,C,C+,C+,B,A-,A-,C,B-,B-,B,B+,A-,B,B+,B,B,A,B,C+,B+,B,B,C+,B+,B+,A,C,B+
2021,Rachel Martindale,Akron,MAC,Sophomore,C+,C-,B,C+,B+,C,C,C+,B,B+,A-,C,B-,B-,B-,B,A-,B,B,B-,B-,A-,B,C,B,B-,B-,C,B,B+,A,C-,B
2021,Allie Craig Cruce,Alabama,SEC,Junior,B-,C+,A,B,A,C+,C+,B-,B+,A,A,C+,B,B,B,B+,A,B+,A+,B,B+,A+,A,C+,A,B,A,C+,A,A-,A,C+,B+
2021,Ariyah Copeland,Alabama,SEC,Senior,B+,B,A+,B+,A+,B,B,B,A-,A+,A+,B,B+,B+,A,A-,A,A-,A+,B+,A-,A+,A+,B-,A+,A,A+,B,A+,A,A+,B-,A-
2021,Destiny Rice,Alabama,SEC,Sophomore,B-,C+,A,B-,A-,C+,C+,B-,B+,A-,A,C+,B,B,B,B+,A,B+,A,B,B,A+,A-,C+,A,B,A-,C+,A,A-,A,C+,B+
2021,Hannah Barber,Alabama,SEC,Junior,B-,C+,A-,B-,A-,C+,C+,B-,B,A-,A,C+,B-,B,B,B+,A-,B+,A,B,B,A,B+,C+,A-,B,B+,C+,A-,B+,A,C,B+
2021,Jasmine Walker,Alabama,SEC,Senior,B+,B,A+,B+,A+,B,B,B+,A-,A+,A+,B,B+,B+,A,A-,A,A-,A+,A-,A-,A+,A+,B,A+,A,A+,B,A+,A,A+,B-,A-
2021,Jordan Lewis,Alabama,SEC,Senior,B+,B,A+,B+,A,B,B,B,A-,A+,A+,B,B+,B+,A,A-,A,A-,A+,B+,A-,A+,A+,B-,A+,A-,A+,B,A+,A-,A+,B-,A-
2021,Megan Abrams,Alabama,SEC,Junior,B-,C+,A-,B-,A,C+,C+,B-,B,A-,A,C+,B,B,B,B+,A-,B+,A,B,B,A,B+,C+,A-,B,B+,C+,A-,B+,A,C,B+
2021,Myra Gordon,Alabama,SEC,Freshman,B-,C+,A,B-,A-,C+,C+,B-,B+,A,A,C+,B,B,B,B+,A,B+,A,B,B,A+,A,C+,A,B,A,C+,A,A-,A,C+,B+
2021,Taylor Sutton,Alabama,SEC,Sophomore,C+,C-,B,C+,B+,C-,C,C+,B,B+,A-,C,B-,B-,B-,B,A-,B,B,B-,B-,A-,B,C,B,B-,B-,C,B,B+,A,C-,B
2021,Ariana Powe,Alabama A&M,SWAC,Sophomore,C+,C-,C+,C+,B+,C-,C-,C+,B-,B+,B+,C-,C+,B-,C+,B,B+,B,B-,B-,B-,B,C+,C-,C+,B-,C+,C-,B-,B+,A-,C-,B
2021,Azonya Austin,Alabama A&M,SWAC,Freshman,C-,D,D,D+,B-,D,D+,C-,C+,B,B,D+,C-,C,C,B-,B-,C+,D,C+,C+,C-,D,D+,D,C,D,D,D,B-,B+,D,C+
2021,Darian Burgin,Alabama A&M,SWAC,Freshman,C,D+,C-,C,B+,D+,C-,C,B-,B+,B,D+,C+,C+,C+,B,B+,B-,C,C+,C+,B-,C-,D+,C-,C+,D+,C-,C-,B,B+,D+,B-
2021,Dariauna Lewis,Alabama A&M,SWAC,Junior,B+,B,A+,B+,A+,B,B,B+,A-,A+,A+,B,B+,B+,A,A-,A,A-,A+,B+,A-,A+,A+,B,A+,A,A+,B,A+,A,A+,B-,A-
2021,Deshawna Harper,Alabama A&M,SWAC,Senior,B-,C,B,B-,A-,C,C+,C+,B,A-,A-,C,B-,B-,B,B,A-,B,B+,B,B,A-,B,C+,B+,B,B,C+,B+,B+,A,C,B+
2021,Elexis Evans,Alabama A&M,SWAC,Junior,B,C+,A-,B-,A,C+,C+,B-,B+,A-,A,C+,B,B,B+,B+,A,B+,A,B,B,A,A-,C+,A-,B+,B+,C+,A-,A-,A,C,B+
2021,Kobi Warner,Alabama A&M,SWAC,Sophomore,C-,D+,D,C-,B-,D,D+,C-,C+,B,B,D+,C,C,C+,B-,B,C+,D+,C+,C+,C-,D,D+,D,C,D,D+,D,B-,B+,D,C+
2021,Nigeria Jones,Alabama A&M,SWAC,Senior,C+,C-,C+,C+,A-,C,C,C+,B-,B+,B+,C-,C+,B-,B,B,A-,B,B-,B-,B-,B+,C+,C-,C+,B-,C+,C,B-,B+,A-,C-,B
