season,player,team,source_conference,class,A10,ACC,AE,AMER,ASUN,B10,B12,BE,BSKY,BSTH,BW,CAA,CUSA,HORZ,IND,Ivy,MAAC,MAC,MEAC,MVC,Mountain West,NEC,OVC,P12,PAT,SB,SC,SEC,SLND,SUM,SWAC,WAC,WCC
2024,Addison Martin,Abilene Christian,WAC,Sophomore,B-,C,B,B-,A-,C,C+,C+,B,A-,A-,C,B-,B-,B,B,A-,B,B+,B,B,A-,B,C+,B+,B,B,C+,B+,B+,A,C,B+
2024,Aspen Thornton,Abilene Christian,WAC,Junior,C+,C-,C+,C+,A-,C-,C,C+,B-,B+,B+,C-,C+,B-,B-,B,B+,B-,B-,B-,B-,B,C+,C-,C+,B-,C+,C,C+,B,A-,D+,B
2024,Bella Earle,Abilene Christian,WAC,Junior,B-,C+,B+,B-,A,C+,C+,B-,B,A-,A-,C,B-,B,B+,B+,A-,B,A-,B,B,A,B+,C+,B+,B,B+,C+,B+,B+,A,C,B+
2024,Claire Graham,Abilene Christian,WAC,Sophomore,C,D+,C,C,B+,D+,C-,C,B-,B+,B,D+,C+,C+,C+,B,B+,B-,C+,C+,C+,B-,C-,C-,C,C+,C-,D+,C,B,B+,D+,B-
2024,Clare Traeger,Abilene Christian,WAC,Senior,C,D+,C,C,B+,D+,C-,C,B-,B+,B+,C-,C+,C+,B-,B,B+,B-,C+,C+,C+,B,C,C-,C,C+,C-,C-,C,B,A-,D+,B
2024,Emma Troxell,Abilene Christian,WAC,Freshman,B-,C,B+,B-,A-,C,C,C+,B,A-,A-,C,B-,B-,B,B,A-,B,B+,B,B,A,B,C+,B+,B,B,C+,B+,B+,A,C,B+
2024,Gracy Wernli,Abilene Christian,WAC,Freshman,C+,C,B+,B-,A-,C,C+,C+,B,A-,A-,C,B-,B-,B-,B,A-,B,A-,B,B,A,B+,C+,B+,B,B,C,B+,B+,A,C,B+
2024,Kenadi Rising,Abilene Christian,WAC,Junior,D+,D,D-,D+,B-,D,D+,C-,C+,B,B-,D,C-,C,C,B-,B,C+,D,C+,C,D+,D-,D,D-,C-,D-,D,D,B-,B+,D,C+
2024,Meredith Mayes,Abilene Christian,WAC,Freshman,B-,B-,A,B,A,C+,C+,B-,B+,A,A,C+,B,B,B+,B+,A,B+,A+,B+,B+,A+,A,C+,A,B+,A,B-,A,A-,A,C+,B+
2024,Payton Hull,Abilene Christian,WAC,Freshman,B,C+,A,B-,A,C+,C+,B-,B+,A-,A,C+,B,B,B+,B+,A,B+,A,B,B,A+,A-,C+,A,B+,A-,C+,A,A-,A,C,B+
2024,Zoe Jackson,Abilene Christian,WAC,Junior,C+,C-,C+,C,B+,C-,C-,C,B-,B+,B+,C-,C+,C+,C+,B,B+,B-,C+,B-,C+,B,C+,C-,C+,B-,C,C-,C+,B,A-,D+,B
2024,Alexis Cortez,Air Force,MWC,Freshman,C,D+,C-,C,B+,D+,C-,C,B-,B+,B,D+,C+,C+,B-,B,B+,B-,C+,B-,C+,B-,C-,C-,C-,C+,C-,C-,C,B,B+,D+,B-
2024,Dasha Macmillan,Air Force,MWC,Senior,C,D+,C-,C,B+,D+,C-,C,B-,B+,B,D+,C+,C+,C+,B,B+,B-,C,B-,C+,B-,C-,C-,C-,C+,C-,C-,C-,B,B+,D+,B-
2024,Emily Adams,Air Force,MWC,Sophomore,C,D+,C+,C,B+,D+,C-,C,B-,B+,B+,C-,C+,C+,B-,B,B+,B-,C+,B-,C+,B,C,C-,C+,C+,C,C-,C+,B,A-,D+,B
2024,Jayda McNabb,Air Force,MWC,Freshman,B-,C,B+,B-,A,C+,C+,B-,B,A-,A-,C,B-,B-,B,B+,A-,B,A-,B,B,A,B,C+,B+,B,B,C+,B+,B+,A,C,B+
2024,Jo Huntimer,Air Force,MWC,Junior,C+,C-,B,C+,A-,C,C,C+,B,B+,A-,C,B-,B-,B-,B,A-,B,B,B-,B-,A-,B,C,B,B-,B-,C,B,B+,A,C-,B
2024,Jordyn DeVaughn,Air Force,MWC,Freshman,C+,C-,C+,C+,B+,C-,C-,C+,B-,B+,B+,C-,C+,B-,C+,B,B+,B,B-,B-,B-,B,C+,C-,C+,C+,C+,C-,B-,B,A-,D+,B
2024,Keelie O'Hollaren,Air Force,MWC,Freshman,B-,C+,A-,B-,A,C+,C+,B-,B,A-,A,C+,B,B,B,B+,A,B+,A,B,B,A,B+,C+,A-,B,B+,C+,A-,B+,A,C,B+
2024,Madison Smith,Air Force,MWC,Junior,B-,C+,B+,B-,A,C+,C+,B-,B,A-,A-,C+,B,B,B+,B+,A,B,A-,B,B,A,B+,C+,A-,B,B+,C+,A-,B+,A,C,B+
2024,Marissa Hargrave,Air Force,MWC,Freshman,D,D-,F,D,C+,D-,D,D,C-,C+,C+,D,D+,D+,C-,C+,B-,C,F,C-,C-,D-,F,D,F,D+,F,D-,F,C+,B,D-,C
2024,Milahnie Perry,Air Force,MWC,Sophomore,B,C+,A,B,A,C+,C+,B-,B+,A,A,C+,B,B,B+,B+,A,B+,A,B,B,A+,A,C+,A,B+,A,C+,A,A-,A,C+,B+
2024,Taylor Britt,Air Force,MWC,Senior,B-,C,B+,B-,A,C+,C+,C+,B,A-,A-,C,B-,B-,B,B,A-,B,B+,B,B,A,B,C+,B+,B,B,C+,B+,B+,A,C,B+
2024,Alexis Stewart,Akron,MAC,Senior,C+,C-,B-,C+,B+,C-,C,C+,B-,B+,B+,C-,C+,B-,B-,B,A-,B,B,B-,B-,B+,B-,C,B-,B-,C+,C-,B-,B+,A,C-,B
2024,Alexus Mobley,Akron,MAC,Junior,C+,C-,C,C+,B+,C-,C-,C,B-,B+,B+,C-,C+,C+,B-,B,B+,B-,C+,B-,C+,B,C,C-,C+,B-,C,C-,C+,B,A-,D+,B
2024,Kaia Woods,Akron,MAC,Junior,C+,C-,C+,C,B+,C-,C-,C,B-,B+,B+,C-,C+,C+,B-,B,B+,B-,C+,B-,C+,B,C+,C-,C+,B-,C,C-,C+,B,A-,D+,B
2024,Lanae Riley,Akron,MAC,Sophomore,B-,C,B+,B-,A-,C,C+,C+,B,A-,A-,C,B-,B-,B,B+,A-,B,A-,B,B,A,B,C+,B+,B,B,C+,B+,B+,A,C,B+
2024,Liisa Taponen,Akron,MAC,Sophomore,C-,D+,C-,C,B,D+,D+,C,C+,B,B,D+,C+,C+,C+,B-,B,B-,C-,C+,C+,C+,D+,D+,C-,C+,D+,D+,C-,B,B+,D+,B-
2024,Morgan Haney,Akron,MAC,Senior,C+,C-,C+,C+,A-,C,C,C+,B-,B+,B+,C-,C+,B-,B-,B,B+,B,B-,B-,B-,B+,C+,C-,C+,B-,C+,C,B-,B+,A-,C-,B
2024,Reagan Bass,Akron,MAC,Junior,B,C+,A,B-,A,C+,C+,B-,B+,A-,A,C+,B,B,A-,B+,A,B+,A,B,B,A,A-,C+,A-,B+,A-,B-,A-,A-,A,C,B+
2024,Teniesha Clarke,Akron,MAC,Freshman,C-,D+,D+,C-,B,D+,D+,C,C+,B,B,D+,C,C+,C+,B-,B+,C+,C-,C+,C+,C+,D+,D+,D+,C+,D+,D+,D+,B,B+,D,B-
2024,Zakia Rasheed,Akron,MAC,Junior,C+,C-,C+,C+,B+,C-,C,C+,B-,B+,B+,C-,C+,B-,B-,B,B+,B-,B-,B-,B-,B,C+,C-,C+,B-,C+,C-,B-,B,A-,D+,B
2024,Aaliyah Nye,Alabama,SEC,Junior,A,B+,A+,A+,A+,B+,A-,A-,A,A+,A+,A+,A+,A+,A,A+,A+,A+,A+,A+,A+,A+,A+,B+,A+,A+,A+,B,A+,A+,A+,A+,A
2024,Del'Janae Williams,Alabama,SEC,Senior,B,C+,A-,B+,A-,C+,C+,B-,B-,A+,A+,A-,B+,B+,B,B+,A-,A,A,B+,B+,A,A-,C,A-,B+,A-,C+,A-,B+,A+,B+,B+
2024,Essence Cody,Alabama,SEC,Freshman,B+,B-,A,A-,A,B-,B-,B,B,A+,A+,A-,A-,B+,A-,A-,A+,A+,A,A-,A-,A+,A-,C+,A-,A,A-,B-,A-,A-,A-,A-,A-
2024,JeAnna Cunningham,Alabama,SEC,Senior,B-,C-,B+,B-,B+,C-,C,C+,C+,A+,A,B+,B,B,B,B,A,B+,A-,B,B,A,B+,D+,B+,B,B+,C-,B+,B+,B+,B,B
