season,player_name,team,pid,listed_height_raw,listed_height,listed_height_inches,predicted_profile_height_inches,predicted_profile_height,height_delta_inches,height_profile_label,predicted_big_profile_height_inches,predicted_big_profile_height,big_height_delta_inches,big_height_profile_label
2024,Jada Thornton,Stonehill,67372,5-9,"5'9""",69.0,70.14,"5'10""",1.14,plays_taller,70.14,"5'10""",1.14,plays_taller
2024,Andjela Matic,Vermont,67374,5-8,"5'8""",68.0,70.45,"5'10""",2.45,plays_taller,70.45,"5'10""",2.45,plays_taller
2024,Sharna Ayres,Northwestern St.,67375,5-10,"5'10""",70.0,70.77,"5'11""",0.77,plays_taller,70.77,"5'11""",0.77,plays_taller
2024,Kayla Clark,Bethune Cookman,67376,6-3,"6'3""",75.0,74.54,"6'3""",-0.46,plays_at_height,74.54,"6'3""",-0.46,plays_at_height
2024,Faith Burch,Cleveland St.,67378,6-1,"6'1""",73.0,74.2,"6'2""",1.2,plays_taller,74.2,"6'2""",1.2,plays_taller
2024,Laura Bello,Idaho St.,67380,6-3,"6'3""",75.0,73.31,"6'1""",-1.69,plays_shorter,73.31,"6'1""",-1.69,plays_shorter
2024,Natalie Herrin,Presbyterian,67381,5-8,"5'8""",68.0,69.92,"5'10""",1.92,plays_taller,69.92,"5'10""",1.92,plays_taller
2024,Paris Kirk,Robert Morris,67387,6-2,"6'2""",74.0,72.26,"6'0""",-1.74,plays_shorter,72.26,"6'0""",-1.74,plays_shorter
2024,Kennedy Taylor,Missouri St.,67388,6-2,"6'2""",74.0,75.35,"6'3""",1.35,plays_taller,75.35,"6'3""",1.35,plays_taller
2024,Allysan Tse,Cal St. Fullerton,67389,5-8,"5'8""",68.0,69.43,"5'9""",1.43,plays_taller,69.43,"5'9""",1.43,plays_taller
2024,Olivia Moran,Northern Arizona,67390,5-11,"5'11""",71.0,70.56,"5'11""",-0.44,plays_at_height,70.56,"5'11""",-0.44,plays_at_height
2024,Esther Little,Gonzaga,67393,6-2,"6'2""",74.0,71.33,"5'11""",-2.67,plays_shorter,71.33,"5'11""",-2.67,plays_shorter
2024,Samantha Bailey,LIU,67394,6-1,"6'1""",73.0,70.76,"5'11""",-2.24,plays_shorter,70.76,"5'11""",-2.24,plays_shorter
2024,Eleonora Villa,Washington St.,67395,5-8,"5'8""",68.0,69.75,"5'10""",1.75,plays_taller,69.75,"5'10""",1.75,plays_taller
2024,Ashley Owusu,Penn St.,67397,6-0,"6'0""",72.0,71.97,"6'0""",-0.03,plays_at_height,71.97,"6'0""",-0.03,plays_at_height
2024,Amira Brown,Tulsa,67398,5-10,"5'10""",70.0,70.94,"5'11""",0.94,plays_taller,70.94,"5'11""",0.94,plays_taller
2024,Mele Finau,Stephen F. Austin,67402,5-11,"5'11""",71.0,70.52,"5'11""",-0.48,plays_at_height,70.52,"5'11""",-0.48,plays_at_height
2024,Vitolia Tuilave,Wofford,67403,6-2,"6'2""",74.0,71.77,"6'0""",-2.23,plays_shorter,71.77,"6'0""",-2.23,plays_shorter
2024,Abby Ray,Albany,67404,5-8,"5'8""",68.0,71.09,"5'11""",3.09,plays_taller,71.09,"5'11""",3.09,plays_taller
2024,Sigrun Olafsdottir,Chattanooga,67407,5-9,"5'9""",69.0,69.6,"5'10""",0.6,plays_at_height,69.6,"5'10""",0.6,plays_at_height
2024,Yonta Vaughn,Virginia,67408,5-8,"5'8""",68.0,69.7,"5'10""",1.7,plays_taller,69.7,"5'10""",1.7,plays_taller
2024,Izabel Varejão,Syracuse,67409,6-4,"6'4""",76.0,72.51,"6'1""",-3.49,plays_shorter,72.51,"6'1""",-3.49,plays_shorter
2024,Cordasia Harris,Alabama St.,67410,6-1,"6'1""",73.0,74.83,"6'3""",1.83,plays_taller,74.83,"6'3""",1.83,plays_taller
2024,Marina Artero,Saint Francis,67418,5-10,"5'10""",70.0,71.65,"6'0""",1.65,plays_taller,71.65,"6'0""",1.65,plays_taller
2024,AJ Marotte,Oregon St.,67421,6-1,"6'1""",73.0,69.97,"5'10""",-3.03,plays_shorter,69.97,"5'10""",-3.03,plays_shorter
2024,Shamarre Hale,Austin Peay,67423,6-1,"6'1""",73.0,75.65,"6'4""",2.65,plays_taller,75.65,"6'4""",2.65,plays_taller
2024,Nalyce Dudley,Sacred Heart,67425,5-10,"5'10""",70.0,72.6,"6'1""",2.6,plays_taller,72.6,"6'1""",2.6,plays_taller
2024,Divine Dibula,Monmouth,67426,6-1,"6'1""",73.0,73.25,"6'1""",0.25,plays_at_height,73.25,"6'1""",0.25,plays_at_height
2024,Sydney Coombs,UMass Lowell,67427,6-3,"6'3""",75.0,70.48,"5'10""",-4.52,plays_shorter,70.48,"5'10""",-4.52,plays_shorter
2024,Rachel Kaus,Cornell,67428,6-0,"6'0""",72.0,70.75,"5'11""",-1.25,plays_shorter,70.75,"5'11""",-1.25,plays_shorter
2024,Kathryn Neff,Cal St. Fullerton,67432,6-0,"6'0""",72.0,70.01,"5'10""",-1.99,plays_shorter,70.01,"5'10""",-1.99,plays_shorter
2024,Alexis Davis,Buffalo,67433,6-0,"6'0""",72.0,72.34,"6'0""",0.34,plays_at_height,72.34,"6'0""",0.34,plays_at_height
2024,Mariama Sow,UTEP,67435,6-3,"6'3""",75.0,71.94,"6'0""",-3.06,plays_shorter,71.94,"6'0""",-3.06,plays_shorter
2024,Ali Brigham,Penn St.,67438,6-4,"6'4""",76.0,73.12,"6'1""",-2.88,plays_shorter,73.12,"6'1""",-2.88,plays_shorter
2024,Kennedy Johnson,Idaho,67441,5-11,"5'11""",71.0,72.94,"6'1""",1.94,plays_taller,72.94,"6'1""",1.94,plays_taller
2024,Molly Heard,Lipscomb,67442,6-0,"6'0""",72.0,71.21,"5'11""",-0.79,plays_shorter,71.21,"5'11""",-0.79,plays_shorter
2024,Anastasiia Semenova,Boston University,67443,6-2,"6'2""",74.0,71.68,"6'0""",-2.32,plays_shorter,71.68,"6'0""",-2.32,plays_shorter
2024,Zoe Cooper,New Orleans,67444,5-11,"5'11""",71.0,70.66,"5'11""",-0.34,plays_at_height,70.66,"5'11""",-0.34,plays_at_height
2024,Brynna Maxwell,Gonzaga,67447,6-0,"6'0""",72.0,70.65,"5'11""",-1.35,plays_shorter,70.65,"5'11""",-1.35,plays_shorter
2024,Camryn Hill,Hampton,67449,6-0,"6'0""",72.0,70.81,"5'11""",-1.19,plays_shorter,70.81,"5'11""",-1.19,plays_shorter
2024,Faith Pappas,Sacred Heart,67450,5-11,"5'11""",71.0,68.81,"5'9""",-2.19,plays_shorter,68.81,"5'9""",-2.19,plays_shorter
2024,Sarah Taub,North Florida,67451,5-9,"5'9""",69.0,71.4,"5'11""",2.4,plays_taller,71.4,"5'11""",2.4,plays_taller
2024,Ally Sentance,Central Connecticut,67452,5-9,"5'9""",69.0,70.41,"5'10""",1.41,plays_taller,70.41,"5'10""",1.41,plays_taller
2024,Natalia Ackerman,Cal Poly,67453,6-1,"6'1""",73.0,76.99,"6'5""",3.99,plays_taller,76.99,"6'5""",3.99,plays_taller
2024,Helena Rafnsdottir,North Florida,67454,5-11,"5'11""",71.0,70.44,"5'10""",-0.56,plays_at_height,70.44,"5'10""",-0.56,plays_at_height
2024,Julia Bengtson,Eastern Illinois,67455,5-8,"5'8""",68.0,69.0,"5'9""",1.0,plays_taller,69.0,"5'9""",1.0,plays_taller
2024,Taris Thornton,Eastern Illinois,67456,6-0,"6'0""",72.0,73.01,"6'1""",1.01,plays_taller,73.01,"6'1""",1.01,plays_taller
2024,Laila Walker,Jackson St.,67458,6-4,"6'4""",76.0,74.17,"6'2""",-1.83,plays_shorter,74.17,"6'2""",-1.83,plays_shorter
2024,Jaelyn Talley,Stetson,67462,5-10,"5'10""",70.0,72.79,"6'1""",2.79,plays_taller,72.79,"6'1""",2.79,plays_taller
2024,Amarachi Kimpson,UNLV,67463,5-8,"5'8""",68.0,70.58,"5'11""",2.58,plays_taller,70.58,"5'11""",2.58,plays_taller
2024,Kristian Jackson,Alabama St.,67464,5-8,"5'8""",68.0,70.06,"5'10""",2.06,plays_taller,70.06,"5'10""",2.06,plays_taller
2024,Reigan Richardson,Duke,67465,5-11,"5'11""",71.0,70.76,"5'11""",-0.24,plays_at_height,70.76,"5'11""",-0.24,plays_at_height
2024,Kassidy Dixon,Sam Houston St.,67466,5-10,"5'10""",70.0,70.82,"5'11""",0.82,plays_taller,70.82,"5'11""",0.82,plays_taller
2024,Mar'shaun Bostic,Auburn,67469,5-8,"5'8""",68.0,71.23,"5'11""",3.23,plays_taller,71.23,"5'11""",3.23,plays_taller
2024,Paris Mullins,Norfolk St.,67471,6-2,"6'2""",74.0,71.34,"5'11""",-2.66,plays_shorter,71.34,"5'11""",-2.66,plays_shorter
2024,Kiera Hill,Tennessee Tech,67475,5-11,"5'11""",71.0,71.47,"5'11""",0.47,plays_at_height,71.47,"5'11""",0.47,plays_at_height
2024,Claire McDougall,Bradley,67476,5-11,"5'11""",71.0,72.09,"6'0""",1.09,plays_taller,72.09,"6'0""",1.09,plays_taller
2024,Niya Fields,Norfolk St.,67479,5-8,"5'8""",68.0,70.23,"5'10""",2.23,plays_taller,70.23,"5'10""",2.23,plays_taller
2024,Shy Tuelle,Campbell,67480,5-10,"5'10""",70.0,69.92,"5'10""",-0.08,plays_at_height,69.92,"5'10""",-0.08,plays_at_height
2024,Cassie Schiltz,Green Bay,67481,5-11,"5'11""",71.0,70.96,"5'11""",-0.04,plays_at_height,70.96,"5'11""",-0.04,plays_at_height
2024,Tierra Simon,Saint Louis,67484,6-1,"6'1""",73.0,74.45,"6'2""",1.45,plays_taller,74.45,"6'2""",1.45,plays_taller
2024,Trinity Hudson,Little Rock,67485,6-4,"6'4""",76.0,73.12,"6'1""",-2.88,plays_shorter,73.12,"6'1""",-2.88,plays_shorter
2024,Gerlyn Smith,Prairie View A&M,67489,6-1,"6'1""",73.0,71.7,"6'0""",-1.3,plays_shorter,71.7,"6'0""",-1.3,plays_shorter
2024,Eri Blithikioti,UC San Diego,67490,5-11,"5'11""",71.0,69.76,"5'10""",-1.24,plays_shorter,69.76,"5'10""",-1.24,plays_shorter
2024,Ali Saunders,Southern Indiana,67491,5-10,"5'10""",70.0,70.02,"5'10""",0.02,plays_at_height,70.02,"5'10""",0.02,plays_at_height
2024,Taylen Collins,Auburn,67492,6-1,"6'1""",73.0,73.04,"6'1""",0.04,plays_at_height,73.04,"6'1""",0.04,plays_at_height
2024,Emma Shaffer,Santa Clara,67493,6-2,"6'2""",74.0,73.24,"6'1""",-0.76,plays_shorter,73.24,"6'1""",-0.76,plays_shorter
2024,Paige Martin,Stonehill,67497,6-0,"6'0""",72.0,71.61,"6'0""",-0.39,plays_at_height,71.61,"6'0""",-0.39,plays_at_height
2024,Miriley Simon,North Dakota St.,67498,6-1,"6'1""",73.0,71.57,"6'0""",-1.43,plays_shorter,71.57,"6'0""",-1.43,plays_shorter
2024,Rachel Leggett,South Alabama,67500,5-8,"5'8""",68.0,71.8,"6'0""",3.8,plays_taller,71.8,"6'0""",3.8,plays_taller
2024,Nevaeh Jackson,Valparaiso,67504,6-0,"6'0""",72.0,70.61,"5'11""",-1.39,plays_shorter,70.61,"5'11""",-1.39,plays_shorter
2024,Brenda McKinney,Grambling St.,67508,6-1,"6'1""",73.0,73.04,"6'1""",0.04,plays_at_height,73.04,"6'1""",0.04,plays_at_height
2024,Brianna Wooldridge,SIU Edwardsville,67509,6-2,"6'2""",74.0,71.76,"6'0""",-2.24,plays_shorter,71.76,"6'0""",-2.24,plays_shorter
2024,Paige Bueckers,Connecticut,67510,6-0,"6'0""",72.0,73.35,"6'1""",1.35,plays_taller,73.35,"6'1""",1.35,plays_taller
2024,Jaylyn James,Louisiana,67511,5-8,"5'8""",68.0,70.72,"5'11""",2.72,plays_taller,70.72,"5'11""",2.72,plays_taller
2024,Carole Miller,James Madison,67512,6-0,"6'0""",72.0,71.21,"5'11""",-0.79,plays_shorter,71.21,"5'11""",-0.79,plays_shorter
2024,Alyssa Jackson,San Diego St.,67514,6-0,"6'0""",72.0,70.15,"5'10""",-1.85,plays_shorter,70.15,"5'10""",-1.85,plays_shorter
2024,Elise Stuck,Michigan,67516,6-1,"6'1""",73.0,72.98,"6'1""",-0.02,plays_at_height,72.98,"6'1""",-0.02,plays_at_height
2024,Olivia Delancy,Florida A&M,67518,6-0,"6'0""",72.0,71.82,"6'0""",-0.18,plays_at_height,71.82,"6'0""",-0.18,plays_at_height
2024,Meghan Fiso,San Diego St.,67519,5-10,"5'10""",70.0,70.52,"5'11""",0.52,plays_at_height,70.52,"5'11""",0.52,plays_at_height
2024,DeYona Gaston,Texas,67523,6-2,"6'2""",74.0,75.08,"6'3""",1.08,plays_taller,75.08,"6'3""",1.08,plays_taller
2024,Abbigail Stephens,Southeast Missouri St.,67525,5-11,"5'11""",71.0,71.84,"6'0""",0.84,plays_taller,71.84,"6'0""",0.84,plays_taller
2024,Macy McGlone,Eastern Illinois,67528,6-2,"6'2""",74.0,74.82,"6'3""",0.82,plays_taller,74.82,"6'3""",0.82,plays_taller
2024,Kendall Nead,Milwaukee,67529,5-11,"5'11""",71.0,70.86,"5'11""",-0.14,plays_at_height,70.86,"5'11""",-0.14,plays_at_height
2024,Nyah Moran,Northern Arizona,67531,5-11,"5'11""",71.0,69.92,"5'10""",-1.08,plays_shorter,69.92,"5'10""",-1.08,plays_shorter
2024,Hannah Ronsiek,Colorado St.,67533,5-11,"5'11""",71.0,72.03,"6'0""",1.03,plays_taller,72.03,"6'0""",1.03,plays_taller
2024,Nicole Leff,Texas St.,67535,6-1,"6'1""",73.0,71.02,"5'11""",-1.98,plays_shorter,71.02,"5'11""",-1.98,plays_shorter
2024,Kaitlyn Orihel,Villanova,67536,5-10,"5'10""",70.0,70.94,"5'11""",0.94,plays_taller,70.94,"5'11""",0.94,plays_taller
2024,Taiye Johnson,Towson,67537,6-5,"6'5""",77.0,73.58,"6'2""",-3.42,plays_shorter,73.58,"6'2""",-3.42,plays_shorter
2024,Dorian Norris,East Texas A&M,67538,5-11,"5'11""",71.0,70.98,"5'11""",-0.02,plays_at_height,70.98,"5'11""",-0.02,plays_at_height
2024,Jasmine Kondrakiewicz,Green Bay,67539,6-1,"6'1""",73.0,73.98,"6'2""",0.98,plays_taller,73.98,"6'2""",0.98,plays_taller
2024,Brooke Moore,Liberty,67542,6-0,"6'0""",72.0,72.28,"6'0""",0.28,plays_at_height,72.28,"6'0""",0.28,plays_at_height
2024,Mady Cartwright,Tulsa,67543,5-10,"5'10""",70.0,70.0,"5'10""",0.0,plays_at_height,70.0,"5'10""",0.0,plays_at_height
2024,Teniesha Clarke,Akron,67544,5-9,"5'9""",69.0,70.25,"5'10""",1.25,plays_taller,70.25,"5'10""",1.25,plays_taller
2024,Dasha Macmillan,Air Force,67546,6-0,"6'0""",72.0,70.19,"5'10""",-1.81,plays_shorter,70.19,"5'10""",-1.81,plays_shorter
2024,Sydney White,Cal Baptist,67549,5-9,"5'9""",69.0,69.0,"5'9""",0.0,plays_at_height,69.0,"5'9""",0.0,plays_at_height
2024,Alexis Markowski,Nebraska,67550,6-3,"6'3""",75.0,74.22,"6'2""",-0.78,plays_shorter,74.22,"6'2""",-0.78,plays_shorter
2024,Jasmine Shavers,Texas Tech,67553,5-9,"5'9""",69.0,71.25,"5'11""",2.25,plays_taller,71.25,"5'11""",2.25,plays_taller
2024,Hope Butera,Idaho,67556,6-3,"6'3""",75.0,74.26,"6'2""",-0.74,plays_at_height,74.26,"6'2""",-0.74,plays_at_height
