season,player_name,team,pid,listed_height_raw,listed_height,listed_height_inches,predicted_profile_height_inches,predicted_profile_height,height_delta_inches,height_profile_label,predicted_big_profile_height_inches,predicted_big_profile_height,big_height_delta_inches,big_height_profile_label
2021,Caitlyn Wilson,Cincinnati,67384,5-10,"5'10""",70.0,68.94,"5'9""",-1.06,plays_shorter,68.94,"5'9""",-1.06,plays_shorter
2021,Olivia Moran,Northern Arizona,67390,5-11,"5'11""",71.0,70.89,"5'11""",-0.11,plays_at_height,70.89,"5'11""",-0.11,plays_at_height
2021,Ashley Owusu,Maryland,67397,6-0,"6'0""",72.0,71.86,"6'0""",-0.14,plays_at_height,71.86,"6'0""",-0.14,plays_at_height
2021,Ash'a Thompson,Old Dominion,67401,5-10,"5'10""",70.0,70.56,"5'11""",0.56,plays_at_height,70.56,"5'11""",0.56,plays_at_height
2021,Mele Finau,Northern Colorado,67402,5-11,"5'11""",71.0,70.78,"5'11""",-0.22,plays_at_height,70.78,"5'11""",-0.22,plays_at_height
2021,Sigrun Olafsdottir,Chattanooga,67407,5-9,"5'9""",69.0,70.05,"5'10""",1.05,plays_taller,70.05,"5'10""",1.05,plays_taller
2021,Shamarre Hale,Wright St.,67423,6-1,"6'1""",73.0,74.58,"6'3""",1.58,plays_taller,74.58,"6'3""",1.58,plays_taller
2021,Sydney Coombs,UMass Lowell,67427,6-3,"6'3""",75.0,72.11,"6'0""",-2.89,plays_shorter,72.11,"6'0""",-2.89,plays_shorter
2021,Jaini Edmonds,UMass Lowell,67430,5-9,"5'9""",69.0,70.37,"5'10""",1.37,plays_taller,70.37,"5'10""",1.37,plays_taller
2021,Kathryn Neff,Cal St. Fullerton,67432,6-0,"6'0""",72.0,70.81,"5'11""",-1.19,plays_shorter,70.81,"5'11""",-1.19,plays_shorter
2021,Ali Brigham,George Washington,67438,6-4,"6'4""",76.0,73.61,"6'2""",-2.39,plays_shorter,73.61,"6'2""",-2.39,plays_shorter
2021,Zoe Cooper,New Orleans,67444,5-11,"5'11""",71.0,72.22,"6'0""",1.22,plays_taller,72.22,"6'0""",1.22,plays_taller
2021,Brynna Maxwell,Utah,67447,6-0,"6'0""",72.0,70.54,"5'11""",-1.46,plays_shorter,70.54,"5'11""",-1.46,plays_shorter
2021,Destiny Leo,Cleveland St.,67448,5-10,"5'10""",70.0,70.34,"5'10""",0.34,plays_at_height,70.34,"5'10""",0.34,plays_at_height
2021,Camryn Hill,Oral Roberts,67449,6-0,"6'0""",72.0,70.04,"5'10""",-1.96,plays_shorter,70.04,"5'10""",-1.96,plays_shorter
2021,Tenley Dowell,Butler,67474,6-0,"6'0""",72.0,69.81,"5'10""",-2.19,plays_shorter,69.81,"5'10""",-2.19,plays_shorter
2021,Niya Fields,Norfolk St.,67479,5-8,"5'8""",68.0,70.06,"5'10""",2.06,plays_taller,70.06,"5'10""",2.06,plays_taller
2021,Shy Tuelle,Campbell,67480,5-10,"5'10""",70.0,71.12,"5'11""",1.12,plays_taller,71.12,"5'11""",1.12,plays_taller
2021,Cassie Schiltz,Green Bay,67481,5-11,"5'11""",71.0,70.92,"5'11""",-0.08,plays_at_height,70.92,"5'11""",-0.08,plays_at_height
2021,Trinity Hudson,Prairie View A&M,67485,6-4,"6'4""",76.0,74.22,"6'2""",-1.78,plays_shorter,74.22,"6'2""",-1.78,plays_shorter
2021,Taylen Collins,Oklahoma St.,67492,6-1,"6'1""",73.0,72.6,"6'1""",-0.4,plays_at_height,72.6,"6'1""",-0.4,plays_at_height
2021,Paige Bueckers,Connecticut,67510,6-0,"6'0""",72.0,71.59,"6'0""",-0.41,plays_at_height,71.59,"6'0""",-0.41,plays_at_height
2021,Jackie Carman,Wofford,67522,5-8,"5'8""",68.0,69.81,"5'10""",1.81,plays_taller,69.81,"5'10""",1.81,plays_taller
2021,DeYona Gaston,Texas,67523,6-2,"6'2""",74.0,76.87,"6'5""",2.87,plays_taller,76.87,"6'5""",2.87,plays_taller
2021,Taylor Lauterbach,Kansas St.,67527,6-7,"6'7""",79.0,74.84,"6'3""",-4.16,plays_shorter,74.84,"6'3""",-4.16,plays_shorter
2021,Kendall Nead,Milwaukee,67529,5-11,"5'11""",71.0,70.83,"5'11""",-0.17,plays_at_height,70.83,"5'11""",-0.17,plays_at_height
2021,Nyah Moran,Northern Arizona,67531,5-11,"5'11""",71.0,70.55,"5'11""",-0.45,plays_at_height,70.55,"5'11""",-0.45,plays_at_height
2021,Zanaa Cordis,New Orleans,67534,6-3,"6'3""",75.0,72.59,"6'1""",-2.41,plays_shorter,72.59,"6'1""",-2.41,plays_shorter
2021,Taiye Johnson,Radford,67537,6-5,"6'5""",77.0,73.69,"6'2""",-3.31,plays_shorter,73.69,"6'2""",-3.31,plays_shorter
