season,player_name,team,position,class,draft_pick,age,listed_height,statistical_height,height_delta_inches,height_delta_percentile,feel_plus,feel_plus_percentile,rimfluence,rimfluence_off,rimfluence_def,rimfluence_percentile,poss_created_100,poss_created_100_percentile,gp,mpg,min_pct
2026,Jelena Bulajic,South Florida,F,Fr,,18.5,"5'10""","5'11""",0.61,59.87,77.21,23.06,N/A,N/A,N/A,,16.06,35.69,31.0,16.4,39.6
2026,Charish Thompson,Cal Poly,F,Fr,,18.5,"5'0""",N/A,,,96.97,48.61,N/A,N/A,N/A,,24.16,84.41,27.0,29.8,73.3
2026,Maya Sharvit,Cal Poly,F,Fr,,18.5,"5'0""",N/A,,,61.48,8.73,N/A,N/A,N/A,,13.76,19.47,9.0,6.9,5.5
2026,Katie Peiffer,Cal Poly,F,Fr,,18.5,"5'0""",N/A,,,72.85,18.37,N/A,N/A,N/A,,20.01,63.99,20.0,11.1,19.3
2026,Arissa Garcia,Cal Poly,G,Jr,,20.5,"5'0""",N/A,,,84.12,31.49,N/A,N/A,N/A,,16.18,36.47,23.0,21.2,43.3
2026,Vivian Franklin,Cal Poly,F,Fr,,18.5,"5'7""",N/A,,,31.83,0.38,N/A,N/A,N/A,,14.53,24.88,17.0,8.1,11.8
2026,Ja'Sharreah Hunt,Alcorn St.,G,Sr,,21.5,"5'6""",N/A,,,98.87,51.31,N/A,N/A,N/A,,20.57,66.79,26.0,17.0,40.4
2026,Dulci Vail,Cal Poly,F,Fr,,18.5,"5'0""",N/A,,,78.18,24.19,N/A,N/A,N/A,,18.97,56.08,18.0,18.1,29.0
2026,Bianca Silva,Louisiana,G,Jr,,20.5,"5'6""",N/A,,,97.97,50.14,N/A,N/A,N/A,,18.84,54.93,29.0,28.4,72.2
2026,Laura Di Stefano,Tulsa,F,Jr,,20.5,"6'2""","5'11""",-2.86,6.84,68.23,14.12,N/A,N/A,N/A,,17.05,42.62,23.0,10.0,18.4
2026,Layla-J Cameron,Tulsa,F,Jr,,20.5,"6'0""","5'11""",-1.04,29.13,105.65,60.55,N/A,N/A,N/A,,14.32,23.57,28.0,17.7,39.5
2026,Claudia Frances,UMKC,F,Fr,,18.5,"5'11""","5'10""",-0.87,32.1,107.05,62.44,N/A,N/A,N/A,,6.43,0.48,12.0,10.0,9.8
2026,Alexandra Eschmeyer,Stanford,F,Fr,,18.5,"6'5""","6'3""",-2.13,13.88,110.99,67.92,N/A,N/A,N/A,,17.36,44.63,35.0,15.1,37.3
2026,Lihi Azouri,Southeastern Louisiana,G,Fr,,18.5,"5'8""","5'9""",0.94,67.24,70.93,16.43,N/A,N/A,N/A,,20.61,67.19,26.0,30.4,71.3
2026,Dasia Hyams,Houston Christian,F,Fr,,18.5,"5'10""","5'11""",0.77,63.88,94.48,45.91,N/A,N/A,N/A,,15.18,28.81,27.0,19.8,48.2
2026,Maycee James,Missouri St.,G,Sr,,21.5,"5'7""",N/A,,,138.22,90.11,N/A,N/A,N/A,,15.0,27.54,36.0,24.8,61.9
2026,Ameerah Grant,UC Irvine,G,Fr,,18.5,"5'4""",N/A,,,134.33,88.1,N/A,N/A,N/A,,20.86,68.29,33.0,12.1,30.0
2026,Nohealani Stores,UC Irvine,F,Fr,,18.5,"6'2""","6'1""",-1.11,28.16,127.91,83.99,N/A,N/A,N/A,,17.1,43.01,32.0,14.3,34.6
2026,Sophie Locatelli,Stetson,G,Fr,,18.5,"5'7""",N/A,,,52.89,4.09,N/A,N/A,N/A,,18.81,54.73,22.0,9.5,15.6
2026,Destiny Garrett,Georgia Southern,G,Sr,,21.5,"5'4""",N/A,,,118.22,75.52,N/A,N/A,N/A,,26.92,92.1,30.0,35.8,89.0
2026,Lia Anderson,Georgia Southern,F,Jr,,20.5,"6'1""","6'1""",0.49,57.76,128.38,84.34,N/A,N/A,N/A,,12.51,13.66,24.0,13.4,26.9
2026,Rose Jamison,Bellarmine,F,Jr,,20.5,"6'0""","5'10""",-1.82,17.9,68.16,13.99,N/A,N/A,N/A,,22.51,77.01,14.0,28.9,33.9
2026,Sydney Thompson,Mississippi Valley St.,F,Fr,,18.5,"5'9""",N/A,,,87.03,35.2,N/A,N/A,N/A,,23.05,79.74,25.0,6.9,13.8
2026,Sydnei Marshall,Mississippi Valley St.,G,Jr,,20.5,"5'9""","5'11""",1.81,82.63,110.13,66.7,N/A,N/A,N/A,,21.93,73.99,31.0,23.2,57.8
2026,Princess Moody,Providence,G,Fr,,18.5,"5'8""","5'10""",2.26,88.5,91.02,41.04,N/A,N/A,N/A,,18.65,53.67,33.0,17.5,43.7
2026,Isa Roman,Appalachian St.,,Fr,,18.5,"5'8""",N/A,,,71.43,16.84,N/A,N/A,N/A,,15.46,30.87,21.0,6.0,9.5
2026,Mio Sakano,Miami OH,F,Fr,,18.5,"5'10""","5'10""",-0.22,44.03,86.76,34.95,N/A,N/A,N/A,,11.21,8.17,32.0,8.8,20.7
2026,Ashlynn Chlarson,Arkansas,F,Jr,,20.5,"6'3""","6'1""",-1.69,19.64,83.51,30.85,N/A,N/A,N/A,,14.95,27.26,32.0,16.5,41.1
2026,Bonnie Deas,Arkansas,F,Fr,,18.5,"5'9""","6'1""",3.58,98.04,127.94,84.04,N/A,N/A,N/A,,26.41,90.82,32.0,28.3,70.4
2026,Harmonie Ware,Arkansas,F,Fr,,18.5,"5'10""","5'10""",0.5,58.0,98.66,50.92,N/A,N/A,N/A,,22.85,78.81,32.0,18.8,46.8
2026,Natalia Hall-Rosa,Seton Hall,G,Fr,,18.5,"6'0""","5'10""",-1.54,21.58,104.83,59.45,N/A,N/A,N/A,,18.84,54.88,25.0,9.5,19.1
2026,Ari Woodard,Seton Hall,G,Fr,,18.5,"5'8""","5'10""",2.33,89.4,141.68,91.61,N/A,N/A,N/A,,18.55,52.86,20.0,14.7,22.8
2026,Lena Girardi,Oklahoma St.,F,Fr,,18.5,"5'11""","5'11""",-0.29,42.83,87.39,35.64,N/A,N/A,N/A,,18.28,51.19,27.0,14.8,29.2
2026,Vivian Onugha,Florida Atlantic,F,Jr,,20.5,"6'2""","6'1""",-0.87,32.1,118.41,75.79,N/A,N/A,N/A,,23.49,81.73,31.0,19.7,48.5
2026,Makayla Thomas,Merrimack,G,Jr,,20.5,"5'0""",N/A,,,88.59,37.53,N/A,N/A,N/A,,17.74,47.56,24.0,5.2,9.9
2026,Katarina Veljovic,Niagara,F,Fr,,18.5,"5'11""","5'11""",-0.12,45.98,121.78,78.91,N/A,N/A,N/A,,13.12,16.4,27.0,22.0,51.3
2026,Jisca Bila,Niagara,G,Fr,,18.5,"5'7""",N/A,,,75.27,20.8,N/A,N/A,N/A,,12.67,14.29,29.0,16.6,41.5
