season,player_name,team,position,class,draft_pick,age,listed_height,statistical_height,height_delta_inches,height_delta_percentile,feel_plus,feel_plus_percentile,rimfluence,rimfluence_off,rimfluence_def,rimfluence_percentile,poss_created_100,poss_created_100_percentile,gp,mpg,min_pct
2026,Jadyn Atchison,UT Arlington,G,Jr,,20.5,"6'1""","5'11""",-1.72,19.22,70.43,15.86,N/A,N/A,N/A,,26.35,90.65,33.0,22.3,55.1
2026,Jada Bediako,Marquette,F,Jr,,20.5,"6'3""","6'2""",-1.4,23.89,107.31,62.71,N/A,N/A,N/A,,15.96,34.88,25.0,9.5,19.6
2026,Andjela Matic,Loyola Marymount,G,Sr,,21.5,"5'8""","5'10""",1.61,79.37,107.63,63.23,N/A,N/A,N/A,,19.55,60.53,30.0,34.0,84.3
2026,Faith Burch,Youngstown St.,F,Jr,,20.5,"6'1""","6'2""",0.77,63.88,141.52,91.56,N/A,N/A,N/A,,15.83,33.99,11.0,12.6,10.4
2026,Laura Bello,UT Arlington,F,Sr,,21.5,"6'3""","6'2""",-0.63,37.06,89.11,38.34,N/A,N/A,N/A,,12.51,13.62,30.0,17.3,39.0
2026,Taylor Wilkins,Southeastern Louisiana,F,Sr,,21.5,"5'10""","5'10""",-0.36,41.72,43.04,1.39,N/A,N/A,N/A,,17.58,46.11,26.0,12.0,27.4
2026,Clemisha Prackett,Indiana St.,F,Jr,,20.5,"6'1""","6'2""",1.08,69.4,123.63,80.82,N/A,N/A,N/A,,21.72,72.89,30.0,19.2,46.5
2026,Paris Kirk,Eastern Washington,F,Sr,,21.5,"6'2""",N/A,,,141.38,91.49,N/A,N/A,N/A,,13.4,17.65,26.0,5.4,10.3
2026,Mila Reynolds,UT Arlington,F,Jr,,20.5,"6'3""","5'10""",-5.15,0.57,57.33,6.03,N/A,N/A,N/A,,18.9,55.44,32.0,20.6,49.4
2026,Eleonora Villa,Washington St.,G,Jr,,20.5,"5'8""","5'10""",1.79,82.23,96.93,48.49,N/A,N/A,N/A,,29.3,96.13,34.0,34.8,86.8
2026,Amira Brown,San Jose St.,F,Sr,,21.5,"5'10""","5'11""",1.47,76.49,105.25,60.11,N/A,N/A,N/A,,24.55,85.79,25.0,25.5,52.0
2026,Ella Fajardo,Iona,G,Sr,,21.5,"5'5""",N/A,,,106.31,61.49,N/A,N/A,N/A,,22.55,77.31,31.0,28.7,72.1
2026,Candace Kpetikou,Miami FL,F,Fr,,18.5,"6'3""",N/A,,,104.47,58.81,N/A,N/A,N/A,,13.54,18.37,31.0,7.5,17.4
2026,Breezie Williams,Wright St.,G,Jr,,20.5,"5'5""",N/A,,,120.8,78.05,N/A,N/A,N/A,,29.35,96.2,30.0,30.3,77.0
2026,Cordasia Harris,South Alabama,F,Sr,,21.5,"6'1""","6'4""",3.06,96.18,112.57,69.94,N/A,N/A,N/A,,18.02,49.42,35.0,26.2,63.5
2026,Marina Artero,Louisiana,F,Jr,,20.5,"5'11""","5'11""",-0.2,44.31,105.63,60.53,N/A,N/A,N/A,,10.08,4.85,29.0,20.6,52.0
2026,Kendall Carruthers,Toledo,G,Jr,,20.5,"5'7""",N/A,,,94.27,45.66,N/A,N/A,N/A,,25.32,88.0,30.0,29.9,72.0
2026,Jaileyah Cotton,Jackson St.,G,Sr,,21.5,"5'6""",N/A,,,104.91,59.62,N/A,N/A,N/A,,24.56,85.81,28.0,31.3,74.1
2026,Nalyce Dudley,Sacred Heart,F,Jr,,20.5,"5'11""","5'11""",-0.04,47.57,88.03,36.62,N/A,N/A,N/A,,19.92,63.38,30.0,32.7,81.9
2026,Divine Dibula,Monmouth,F,Jr,,20.5,"6'1""","6'2""",0.95,67.47,114.46,71.86,N/A,N/A,N/A,,24.41,85.15,30.0,26.0,64.5
2026,Rachel Kaus,Cornell,F,Jr,,20.5,"6'0""","5'11""",-0.72,35.22,93.83,44.83,N/A,N/A,N/A,,23.8,83.06,26.0,30.0,76.7
2026,Jaini Edmonds,UMass Lowell,G,Sr,,21.5,"5'9""","5'10""",0.79,64.21,115.97,73.23,N/A,N/A,N/A,,31.2,97.92,26.0,31.8,80.7
2026,Alexis Davis,Monmouth,F,Jr,,20.5,"6'0""","6'1""",1.08,69.4,155.32,95.69,N/A,N/A,N/A,,20.39,66.06,28.0,19.1,43.6
2026,Karsyn Norman,Ball St.,G,Jr,,20.5,"5'6""",N/A,,,114.71,72.25,N/A,N/A,N/A,,24.61,86.03,32.0,29.5,74.7
2026,Molly Heard,Lipscomb,G,Sr,,21.5,"6'0""","6'0""",0.25,53.12,123.31,80.53,N/A,N/A,N/A,,28.31,94.68,28.0,30.9,79.3
2026,Anastasiia Semenova,Boston University,F,Sr,,21.5,"6'2""","6'0""",-2.0,15.7,67.93,13.7,N/A,N/A,N/A,,18.03,49.45,27.0,27.1,60.9
2026,Catherine Alben,Georgia Tech,G,Sr,,21.5,"5'7""",N/A,,,76.56,22.17,N/A,N/A,N/A,,27.64,93.45,33.0,21.4,52.9
2026,Destiny Leo,UNLV,G,Sr,,21.5,"5'10""","5'10""",-0.08,46.95,70.31,15.76,N/A,N/A,N/A,,14.44,24.31,32.0,16.3,40.7
2026,Faith Pappas,Sacred Heart,G,Sr,,21.5,"5'11""","5'9""",-2.46,10.72,83.5,30.8,N/A,N/A,N/A,,15.28,29.5,19.0,10.9,17.4
2026,Laila Walker,Old Dominion,F,Sr,,21.5,"6'4""","6'3""",-1.17,27.12,115.55,72.89,N/A,N/A,N/A,,13.85,19.94,28.0,8.7,19.2
2026,Meadow Roland,UNLV,F,So,,19.5,"6'2""","6'2""",0.12,50.8,103.24,57.16,N/A,N/A,N/A,,25.45,88.46,31.0,33.4,80.6
2026,Macy Spencer,High Point,G,Jr,,20.5,"5'8""","5'10""",2.49,91.83,89.02,38.22,N/A,N/A,N/A,,28.11,94.24,31.0,31.7,80.3
2026,Jaelyn Talley,North Texas,F,Sr,,21.5,"5'10""","6'0""",1.99,84.82,112.48,69.86,N/A,N/A,N/A,,11.16,7.95,26.0,8.7,16.8
2026,Amarachi Kimpson,Miami FL,G,So,,19.5,"5'8""","5'10""",2.12,86.71,111.69,68.96,N/A,N/A,N/A,,20.01,63.94,33.0,31.3,77.4
2026,Kellyn Preira,Monmouth,G,Jr,,20.5,"5'11""","5'8""",-2.58,9.65,51.94,3.72,N/A,N/A,N/A,,13.39,17.6,17.0,10.2,12.0
2026,Claire McDougall,Bradley,F,Jr,,20.5,"5'11""",N/A,,,143.9,92.32,N/A,N/A,N/A,,20.14,64.64,7.0,22.0,13.3
2026,Nyla Walker,Gardner Webb,G,Sr,,21.5,"5'4""",N/A,,,117.13,74.43,N/A,N/A,N/A,,26.64,91.27,31.0,20.7,51.8
2026,Tierra Simon,Richmond,F,Sr,,21.5,"6'1""","6'1""",-0.5,39.28,88.19,36.92,N/A,N/A,N/A,,19.25,58.12,34.0,16.9,41.6
2026,Ali Saunders,Southern Indiana,G,Sr,,21.5,"5'10""","5'10""",0.08,50.0,118.98,76.45,N/A,N/A,N/A,,32.04,98.37,29.0,35.1,89.3
2026,Kendal George,SIU Edwardsville,F,Jr,,20.5,"5'9""","5'10""",0.58,59.39,57.64,6.13,N/A,N/A,N/A,,10.89,7.27,20.0,11.9,20.3
2026,Erin Condron,UC San Diego,F,Jr,,20.5,"6'4""","6'2""",-2.01,15.51,110.46,67.21,N/A,N/A,N/A,,23.59,82.22,32.0,33.9,84.4
2026,Paige Martin,Stonehill,F,Sr,,21.5,"6'0""",N/A,,,179.79,98.61,N/A,N/A,N/A,,19.92,63.4,15.0,4.4,5.4
2026,Miriley Simon,North Dakota St.,F,Jr,,20.5,"6'1""",N/A,,,97.35,49.1,N/A,N/A,N/A,,26.12,89.84,27.0,5.8,12.1
2026,Rachel Leggett,Troy,F,Sr,,21.5,"5'8""","6'0""",4.0,98.91,154.85,95.54,N/A,N/A,N/A,,18.11,50.04,32.0,27.1,68.3
2026,Jazzy Owens-Barnett,North Texas,G,Sr,,21.5,"5'7""",N/A,,,111.02,67.97,N/A,N/A,N/A,,21.93,73.97,29.0,22.9,54.1
2026,Nevaeh Jackson,Butler,F,Jr,,20.5,"6'0""","5'11""",-0.65,36.61,113.78,71.31,N/A,N/A,N/A,,17.08,42.86,23.0,22.1,40.9
2026,Brianna Wooldridge,Tennessee St.,F,Sr,,21.5,"6'1""","6'0""",-0.74,34.82,143.0,91.93,N/A,N/A,N/A,,15.79,33.57,23.0,20.0,39.7
2026,Jordan Harrison,West Virginia,G,Sr,,21.5,"5'6""",N/A,,,165.1,97.24,N/A,N/A,N/A,,28.27,94.61,34.0,31.4,76.3
2026,Alyssa Jackson,San Diego St.,F,So,,19.5,"6'0""","6'0""",-0.26,43.32,88.18,36.87,N/A,N/A,N/A,,14.8,26.45,31.0,16.6,40.2
2026,Olivia Delancy,Southern,F,Sr,,21.5,"6'0""","5'11""",-1.07,28.76,54.38,4.66,N/A,N/A,N/A,,21.94,74.14,32.0,17.5,43.8
2026,Meghan Fiso,Pepperdine,F,Sr,,21.5,"5'10""","5'11""",1.28,73.3,85.69,33.6,N/A,N/A,N/A,,23.83,83.28,32.0,27.9,69.5
2026,Hannah Ronsiek,Colorado St.,F,Sr,,21.5,"5'11""","5'11""",0.28,53.68,49.86,3.08,N/A,N/A,N/A,,12.95,15.69,34.0,32.7,82.5
2026,Brooke Moore,St. John's,F,So,,19.5,"6'0""","6'1""",0.64,60.6,104.53,58.91,N/A,N/A,N/A,,19.4,59.35,34.0,30.2,75.6
2026,Mady Cartwright,Tulsa,G,Jr,,20.5,"5'10""","5'11""",0.5,58.0,98.55,50.77,N/A,N/A,N/A,,25.76,89.1,31.0,33.0,81.5
2026,Teniesha Clarke,Akron,G,Jr,,20.5,"5'9""","5'9""",-0.09,46.69,58.62,6.79,N/A,N/A,N/A,,13.63,18.78,9.0,12.3,9.5
2026,Sydney White,Weber St.,G,Jr,,20.5,"5'9""","5'10""",0.61,59.87,88.96,38.1,N/A,N/A,N/A,,21.38,71.0,30.0,32.6,80.9
2026,Denae Carter,Villanova,,Sr,,21.5,"6'0""","6'3""",2.67,93.81,115.16,72.47,N/A,N/A,N/A,,25.8,89.15,32.0,20.6,50.0
2026,Ty Williams,VCU,G,Sr,,21.5,"5'7""",N/A,,,84.47,31.83,N/A,N/A,N/A,,17.55,45.98,25.0,21.6,43.5
2026,Jasmine Shavers,Florida St.,F,Jr,,20.5,"5'9""","5'10""",1.46,76.21,90.78,40.43,N/A,N/A,N/A,,24.12,84.21,31.0,27.7,68.4
2026,Mia Moore,Clemson,G,Sr,,21.5,"5'6""",N/A,,,125.58,82.35,N/A,N/A,N/A,,31.06,97.83,32.0,32.1,76.7
2026,Ava Gugliuzza,SIU Edwardsville,G,Jr,,20.5,"5'5""",N/A,,,73.82,19.32,N/A,N/A,N/A,,15.7,32.84,29.0,20.8,52.5
2026,Desrae Kyles,Mississippi,F,So,,19.5,"6'5""",N/A,,,93.92,45.0,N/A,N/A,N/A,,12.42,13.16,16.0,5.4,6.0
2026,Niyah Gaston,Norfolk St.,F,So,,19.5,"5'10""","5'10""",-0.17,44.71,56.37,5.54,N/A,N/A,N/A,,13.27,17.04,26.0,10.0,21.9
2026,Ale'Jah Douglas,Grand Canyon,G,Sr,,21.5,"5'6""",N/A,,,80.32,26.79,N/A,N/A,N/A,,18.72,54.09,32.0,21.2,53.0
2026,Sydney Harris,Iowa St.,F,Sr,,21.5,"6'1""","5'11""",-2.49,10.43,72.71,18.14,N/A,N/A,N/A,,15.27,29.45,32.0,17.7,44.2
2026,Asta Blauenfeldt,Maine,G,Sr,,21.5,"5'6""",N/A,,,79.88,26.23,N/A,N/A,N/A,,18.0,49.37,32.0,34.6,86.6
2026,Taylor Anderson,Central Michigan,F,Sr,,21.5,"5'10""","6'2""",3.81,98.58,153.0,95.17,N/A,N/A,N/A,,19.33,58.64,29.0,26.1,65.9
2026,Aysia Hinton,North Carolina Central,G,Jr,,20.5,"5'8""","5'10""",1.73,81.47,50.48,3.35,N/A,N/A,N/A,,12.35,12.89,27.0,22.2,55.0
2026,Halle Wright,Idaho St.,F,Sr,,21.5,"6'0""","6'0""",0.14,51.32,132.88,87.36,N/A,N/A,N/A,,16.61,39.55,28.0,15.1,36.2
2026,Nadira Eltayeb,Kansas,F,Sr,,21.5,"6'4""",N/A,,,37.6,0.82,N/A,N/A,N/A,,10.35,5.44,23.0,7.7,13.5
2026,Emily Siesel,Bowling Green,G,Sr,,21.5,"5'6""",N/A,,,72.84,18.32,N/A,N/A,N/A,,12.43,13.21,27.0,12.2,27.4
2026,Talana Lepolo,Stanford,G,Sr,,21.5,"5'7""",N/A,,,109.28,65.47,N/A,N/A,N/A,,13.26,16.94,20.0,26.4,40.8
2026,Jasmine Fearne,Bowling Green,G,Sr,,21.5,"5'11""","5'9""",-1.62,20.47,71.15,16.6,N/A,N/A,N/A,,16.08,35.86,26.0,14.6,32.4
2026,Avery O'Roke,NJIT,F,Sr,,21.5,"5'7""",N/A,,,48.31,2.62,N/A,N/A,N/A,,10.56,6.28,20.0,6.8,11.3
2026,TK Pitts,Houston,F,Sr,,21.5,"6'1""","6'1""",-0.2,44.31,141.21,91.44,N/A,N/A,N/A,,20.49,66.45,28.0,28.8,67.2
2026,Brooklyn Gray,Rhode Island,F,Sr,,21.5,"5'11""","5'11""",0.41,56.19,125.94,82.71,N/A,N/A,N/A,,24.16,84.36,32.0,31.2,78.5
2026,Reese Ross,Utah,F,Jr,,20.5,"6'1""","6'1""",0.08,50.0,97.19,48.88,N/A,N/A,N/A,,18.77,54.51,29.0,28.9,68.2
2026,Jakoriah Long,Tarleton St.,G,Sr,,21.5,"5'7""",N/A,,,62.37,9.28,N/A,N/A,N/A,,19.48,60.01,29.0,32.3,80.7
2026,Chaé Harris,Memphis,G,Sr,,21.5,"5'8""","5'11""",2.56,92.73,77.74,23.5,N/A,N/A,N/A,,27.36,92.94,23.0,23.1,43.4
2026,Nykesha Sanders,Delaware St.,G,Sr,,21.5,"5'7""",N/A,,,69.94,15.44,N/A,N/A,N/A,,14.83,26.62,27.0,30.1,77.0
2026,Anya McKenzie,West Georgia,F,Jr,,20.5,"6'2""",N/A,,,129.07,84.78,N/A,N/A,N/A,,10.23,5.32,27.0,6.2,13.3
2026,Sauda Ntaconayigize,Lafayette,G,Sr,,21.5,"5'11""","5'10""",-1.38,24.32,89.31,38.56,N/A,N/A,N/A,,17.01,42.25,25.0,33.6,69.5
2026,Skylar Barnes,Coppin St.,F,Sr,,21.5,"5'6""",N/A,,,65.34,11.61,N/A,N/A,N/A,,19.64,61.17,31.0,17.6,44.8
2026,Sifa Joyeuse,Grand Canyon,F,Jr,,20.5,"5'11""","5'11""",0.37,55.55,119.48,76.89,N/A,N/A,N/A,,17.08,42.79,27.0,10.0,21.1
2026,Emmie Streams,Maine,G,Jr,,20.5,"5'4""",N/A,,,115.3,72.59,N/A,N/A,N/A,,8.85,2.47,32.0,11.4,28.5
2026,Anaya Harris,Gardner Webb,G,Jr,,20.5,"5'9""","5'11""",1.8,82.43,92.72,43.4,N/A,N/A,N/A,,25.02,86.94,20.0,27.7,44.8
2026,Lauren Bailey,Furman,G,Jr,,20.5,"5'8""","5'9""",1.11,69.95,49.2,2.91,N/A,N/A,N/A,,10.51,5.96,22.0,25.1,51.6
2026,Ashley Hawkins,Santa Clara,G,Sr,,21.5,"5'6""",N/A,,,149.15,94.09,N/A,N/A,N/A,,30.92,97.7,32.0,31.2,79.1
2026,Caroline Dotsey,Butler,F,Jr,,20.5,"6'2""","6'0""",-2.45,10.86,55.91,5.42,N/A,N/A,N/A,,15.81,33.7,31.0,22.6,56.4
2026,Andrea Martinez,Northeastern,F,Jr,,20.5,"6'1""","5'9""",-4.23,1.89,87.6,35.96,N/A,N/A,N/A,,12.96,15.79,8.0,8.4,5.7
2026,Charlisse Leger-Walker,UCLA,G,Sr,,21.5,"5'10""","6'0""",1.6,79.15,148.88,94.02,N/A,N/A,N/A,,23.77,82.94,38.0,28.0,70.0
2026,Aryss Macktoon,La Salle,F,Jr,,20.5,"5'10""","6'0""",2.49,91.83,141.98,91.71,N/A,N/A,N/A,,27.79,93.7,32.0,32.7,82.2
2026,Kristina Juric,Manhattan,F,Jr,,20.5,"6'2""","6'0""",-2.02,15.37,77.68,23.45,N/A,N/A,N/A,,15.89,34.41,21.0,25.9,43.7
2026,Tiffany Hammond,North Texas,G,Sr,,21.5,"5'8""","5'10""",2.46,91.2,87.35,35.52,N/A,N/A,N/A,,17.86,48.37,12.0,21.4,19.8
2026,Tegan Young,UC Davis,F,Jr,,20.5,"6'1""","5'11""",-2.16,13.58,109.0,65.1,N/A,N/A,N/A,,15.71,33.01,32.0,26.8,66.1
2026,Izzy Sullivan,Nevada,G,Jr,,20.5,"5'10""","5'10""",-0.04,47.57,105.12,59.94,N/A,N/A,N/A,,17.85,48.29,30.0,31.0,77.5
2026,Elisabeth Aegisdottir,Liberty,F,Jr,,20.5,"6'2""","5'11""",-3.42,3.96,66.09,12.17,N/A,N/A,N/A,,12.8,14.88,29.0,31.4,80.0
2026,Jayla Murray,Mississippi,F,Sr,,21.5,"6'1""","6'0""",-1.13,27.72,131.08,86.18,N/A,N/A,N/A,,18.68,53.89,32.0,9.1,20.2
2026,Kaili Chamberlin,McNeese St.,G,Sr,,21.5,"5'9""","5'10""",1.04,68.88,67.15,13.03,N/A,N/A,N/A,,16.88,41.34,33.0,16.0,40.2
2026,Claudia Langarita,California,F,Sr,,21.5,"6'2""","5'11""",-2.79,7.53,63.03,9.79,N/A,N/A,N/A,,16.05,35.57,23.0,10.8,17.1
2026,Kennedy Klick,Minnesota,G,So,,19.5,"5'11""",N/A,,,138.53,90.23,N/A,N/A,N/A,,20.99,69.15,18.0,5.8,7.9
2026,Skylar Burke,UC Santa Barbara,F,Sr,,21.5,"5'8""","6'1""",4.72,99.81,111.03,68.0,N/A,N/A,N/A,,22.89,79.08,22.0,24.6,47.2
2026,Cotie McMahon,Mississippi,F,Sr,,21.5,"6'0""","6'0""",0.12,50.8,110.15,66.72,N/A,N/A,N/A,,34.12,99.25,36.0,30.0,74.7
2026,Mya Perry,Cincinnati,G,Sr,,21.5,"5'9""","5'10""",0.86,65.6,67.9,13.65,N/A,N/A,N/A,,24.26,84.85,30.0,34.2,84.8
2026,Kaitlyn Elsholz,Grand Canyon,F,Jr,,20.5,"5'11""",N/A,,,53.03,4.12,N/A,N/A,N/A,,15.61,32.0,22.0,7.5,13.0
2026,Angena Belloso,Auburn,F,Sr,,21.5,"5'11""","5'11""",-0.33,42.05,87.64,36.03,N/A,N/A,N/A,,15.93,34.71,28.0,11.3,24.4
2026,Bella Pucci,Binghamton,G,Jr,,20.5,"5'9""","5'10""",1.33,74.22,93.1,43.89,N/A,N/A,N/A,,24.48,85.57,31.0,31.8,79.7
2026,Jaila Lee,UNC Greensboro,F,Sr,,21.5,"5'9""","5'11""",1.59,78.89,91.96,42.2,N/A,N/A,N/A,,22.27,75.96,23.0,27.0,62.5
2026,Ashley Baez,Troy,G,Sr,,21.5,"5'5""",N/A,,,116.73,73.87,N/A,N/A,N/A,,22.83,78.69,32.0,24.9,62.7
2026,Fatou Diakite,South Florida,F,Jr,,20.5,"6'3""","6'2""",-0.85,32.7,109.96,66.55,N/A,N/A,N/A,,18.96,56.01,24.0,13.6,25.3
2026,Cate Carlson,Radford,F,Jr,,20.5,"5'10""","5'10""",0.33,54.6,80.52,26.97,N/A,N/A,N/A,,18.49,52.57,34.0,27.4,68.4
2026,Kilah Freelon,Virginia Tech,F,Sr,,21.5,"6'1""","6'3""",2.09,86.31,128.55,84.46,N/A,N/A,N/A,,17.46,45.32,32.0,26.4,63.6
2026,Bre'Yon White,Wichita St.,F,Sr,,21.5,"5'11""","5'11""",0.19,52.2,73.16,18.76,N/A,N/A,N/A,,18.09,49.91,30.0,18.0,44.4
2026,Imani Smith,Charlotte,F,Sr,,21.5,"5'8""","5'11""",3.3,97.05,110.77,67.63,N/A,N/A,N/A,,11.73,10.18,32.0,22.6,55.7
2026,Promise Keshi,Stetson,F,Sr,,21.5,"5'9""","6'1""",4.18,99.18,98.26,50.38,N/A,N/A,N/A,,17.84,48.19,29.0,29.2,70.8
2026,Marissa Gingrich,NJIT,F,Jr,,20.5,"5'7""",N/A,,,139.7,91.07,N/A,N/A,N/A,,19.86,62.79,27.0,30.7,64.8
2026,Kadidia Toure,LIU,F,Jr,,20.5,"6'3""","6'3""",0.14,51.32,139.63,91.02,N/A,N/A,N/A,,37.81,99.82,29.0,29.4,71.9
2026,Marie Sepp,Morehead St.,G,Sr,,21.5,"5'5""",N/A,,,103.92,58.1,N/A,N/A,N/A,,27.07,92.4,30.0,32.9,77.7
2026,Jorey Buwalda,Milwaukee,F,Jr,,20.5,"6'0""","6'1""",1.25,72.69,116.28,73.62,N/A,N/A,N/A,,27.51,93.16,30.0,28.2,69.9
2026,Ella Johnson,Montana St.,F,Jr,,20.5,"6'2""","6'2""",-0.09,46.69,122.79,80.04,N/A,N/A,N/A,,13.6,18.64,33.0,23.2,57.9
2026,Jeanine Brandsma,Austin Peay,F,Sr,,21.5,"6'1""",N/A,,,122.14,79.57,N/A,N/A,N/A,,6.71,0.68,14.0,5.1,5.4
2026,Claire Henson,Wright St.,F,Sr,,21.5,"5'10""","6'0""",2.01,85.03,114.05,71.54,N/A,N/A,N/A,,25.3,87.92,28.0,28.6,68.4
2026,Camryn Fauria,New Hampshire,F,Sr,,21.5,"6'0""","5'10""",-1.7,19.47,54.58,4.75,N/A,N/A,N/A,,16.6,39.42,28.0,20.4,51.0
2026,Patricia Sherrill,Bellarmine,F,Sr,,21.5,"6'1""","5'11""",-2.19,13.25,71.93,17.58,N/A,N/A,N/A,,18.22,50.72,25.0,17.0,34.8
2026,Tamia Stricklin,Seattle,F,Sr,,21.5,"6'0""","5'11""",-0.92,30.93,72.12,17.73,N/A,N/A,N/A,,22.32,76.18,27.0,30.0,75.6
2026,Shadasia Brackens,Tarleton St.,F,Jr,,20.5,"5'11""","6'2""",2.66,93.68,108.3,64.24,N/A,N/A,N/A,,22.6,77.53,26.0,18.9,41.7
2026,Simone Lewis,Holy Cross,F,Jr,,20.5,"6'0""",N/A,,,105.33,60.21,N/A,N/A,N/A,,19.27,58.24,22.0,6.5,10.8
2026,Hope Hassmann,Idaho,G,Jr,,20.5,"5'8""","5'10""",2.27,88.62,114.5,72.0,N/A,N/A,N/A,,28.54,95.05,33.0,29.6,75.3
2026,Kennedie Shuler,Oregon St.,G,Jr,,20.5,"5'10""","6'0""",2.2,87.66,153.1,95.2,N/A,N/A,N/A,,33.68,99.13,33.0,31.9,80.4
2026,Susana Yepes,Oregon St.,G,Sr,,21.5,"6'0""",N/A,,,59.51,7.36,N/A,N/A,N/A,,13.28,17.09,19.0,6.5,8.9
2026,Angelie Ricard,Wagner,F,Sr,,21.5,"5'10""","5'10""",0.02,48.65,55.06,4.95,N/A,N/A,N/A,,16.1,36.06,28.0,16.0,38.1
2026,Maliyah Johnson,George Mason,F,Sr,,21.5,"6'3""","6'0""",-3.18,4.94,73.67,19.23,N/A,N/A,N/A,,18.62,53.43,32.0,22.7,54.2
2026,Sarah Brans,Idaho,F,Sr,,21.5,"6'1""","6'0""",-0.98,30.14,68.8,14.56,N/A,N/A,N/A,,14.98,27.38,29.0,9.0,18.2
2026,Donovyn Hunter,TCU,G,Jr,,20.5,"6'0""","5'11""",-1.11,28.16,113.66,71.17,N/A,N/A,N/A,,16.06,35.64,38.0,33.8,84.0
2026,Nayo Lear,Dayton,G,Sr,,21.5,"5'10""","5'11""",0.91,66.46,90.9,40.8,N/A,N/A,N/A,,28.68,95.39,30.0,28.9,69.6
2026,Giana Hoddinott,Mount St. Mary's,G,Sr,,21.5,"5'9""","5'9""",0.33,54.6,116.32,73.67,N/A,N/A,N/A,,19.39,59.18,30.0,27.3,67.7
2026,Amber Scalia,Miami OH,G,Sr,,21.5,"5'9""","5'10""",1.16,70.75,88.55,37.43,N/A,N/A,N/A,,23.92,83.6,33.0,31.8,80.1
2026,Erica Moon,Georgia Tech,G,So,,19.5,"5'6""",N/A,,,95.9,47.21,N/A,N/A,N/A,,18.24,50.87,33.0,28.4,70.3
2026,Last-Tear Poa,Arizona St.,G,Sr,,21.5,"5'11""","5'11""",0.42,56.4,120.01,77.41,N/A,N/A,N/A,,21.17,69.99,32.0,22.4,50.8
2026,Alex Covill,Washington St.,F,Jr,,20.5,"6'6""","6'1""",-4.52,1.15,65.12,11.41,N/A,N/A,N/A,,18.92,55.64,20.0,23.9,35.1
2026,Bella Hays,Eastern Washington,F,Sr,,21.5,"6'3""","5'11""",-3.51,3.61,113.95,71.46,N/A,N/A,N/A,,12.73,14.56,25.0,9.5,18.4
2026,Molly Lavin,Drexel,F,Jr,,20.5,"6'2""","6'0""",-2.48,10.55,87.28,35.47,N/A,N/A,N/A,,12.61,14.04,9.0,14.9,11.4
2026,Casey Valenti-Paea,Grand Canyon,G,Sr,,21.5,"5'9""","5'10""",1.46,76.21,110.56,67.36,N/A,N/A,N/A,,19.34,58.78,23.0,17.5,31.4
2026,Laura Nogues,American,G,Sr,,21.5,"5'7""",N/A,,,92.5,43.13,N/A,N/A,N/A,,21.17,69.94,19.0,22.9,35.9
2026,Gentry Baldwin,Oral Roberts,G,Jr,,20.5,"5'5""",N/A,,,78.85,25.1,N/A,N/A,N/A,,19.12,57.16,27.0,29.6,74.1
2026,Raven Thompson,Clemson,F,Sr,,21.5,"5'10""","6'0""",1.67,80.46,95.07,46.5,N/A,N/A,N/A,,17.41,44.9,33.0,26.1,64.3
2026,Aarionna Redman,Marshall,G,Sr,,21.5,"5'10""","5'10""",0.25,53.12,66.11,12.2,N/A,N/A,N/A,,15.62,32.13,35.0,10.6,24.9
2026,Sayvia Sellers,Washington,G,Jr,,20.5,"5'7""",N/A,,,92.6,43.28,N/A,N/A,N/A,,31.97,98.32,33.0,31.9,78.3
2026,Amy O'Hara,Bradley,F,Jr,,20.5,"6'2""","6'2""",0.05,49.15,104.73,59.3,N/A,N/A,N/A,,18.2,50.5,23.0,22.2,40.2
2026,Chloe Briggs,Washington,F,Jr,,20.5,"5'11""","5'11""",-0.11,46.22,120.11,77.46,N/A,N/A,N/A,,13.8,19.72,26.0,12.1,23.4
2026,Alancia Ramsey,Alabama,F,Jr,,20.5,"6'0""","6'2""",1.83,82.98,139.9,91.09,N/A,N/A,N/A,,17.6,46.35,27.0,10.4,21.2
2026,Tyonna Bailey,Charleston Southern,F,Jr,,20.5,"5'10""","5'11""",0.94,67.24,88.67,37.63,N/A,N/A,N/A,,30.57,97.41,27.0,31.1,72.4
2026,Jayda Brown,Tulane,F,Jr,,20.5,"6'0""","6'0""",-0.25,43.49,63.79,10.41,N/A,N/A,N/A,,20.97,68.96,31.0,16.5,40.7
2026,Julie Bahati,St. John's,F,Jr,,20.5,"6'2""",N/A,,,191.84,99.13,N/A,N/A,N/A,,13.35,17.31,21.0,5.1,7.8
2026,Alba Garcia,Charleston Southern,F,Sr,,21.5,"6'0""","5'9""",-2.85,6.92,56.23,5.44,N/A,N/A,N/A,,18.91,55.54,23.0,10.5,20.3
2026,Lauryn Stover,Mercyhurst,F,Sr,,21.5,"5'11""","5'9""",-1.58,21.08,87.48,35.76,N/A,N/A,N/A,,14.31,23.5,26.0,8.2,16.5
2026,Taylor Bigby,TCU,G,Sr,,21.5,"6'1""","5'10""",-2.68,8.33,88.4,37.16,N/A,N/A,N/A,,14.24,22.94,38.0,26.1,64.7
2026,Riley Makalusky,West Virginia,F,Jr,,20.5,"6'2""","5'11""",-3.04,5.53,67.82,13.57,N/A,N/A,N/A,,12.9,15.27,35.0,14.8,37.0
