season,player_name,team,pid,listed_height_raw,listed_height,listed_height_inches,predicted_profile_height_inches,predicted_profile_height,height_delta_inches,height_profile_label,predicted_big_profile_height_inches,predicted_big_profile_height,big_height_delta_inches,big_height_profile_label
2025,Jada Bediako,Marquette,67371,6-3,"6'3""",75.0,73.91,"6'2""",-1.09,plays_shorter,73.91,"6'2""",-1.09,plays_shorter
2025,Andjela Matic,Duquesne,67374,5-8,"5'8""",68.0,71.1,"5'11""",3.1,plays_taller,71.1,"5'11""",3.1,plays_taller
2025,Sharna Ayres,Northwestern St.,67375,5-10,"5'10""",70.0,70.21,"5'10""",0.21,plays_at_height,70.21,"5'10""",0.21,plays_at_height
2025,Kayla Clark,Bethune Cookman,67376,6-3,"6'3""",75.0,73.24,"6'1""",-1.76,plays_shorter,73.24,"6'1""",-1.76,plays_shorter
2025,Faith Burch,Youngstown St.,67378,6-1,"6'1""",73.0,73.1,"6'1""",0.1,plays_at_height,73.1,"6'1""",0.1,plays_at_height
2025,Natalie Herrin,Presbyterian,67381,5-8,"5'8""",68.0,70.37,"5'10""",2.37,plays_taller,70.37,"5'10""",2.37,plays_taller
2025,Taylor Wilkins,UNC Asheville,67385,5-10,"5'10""",70.0,70.07,"5'10""",0.07,plays_at_height,70.07,"5'10""",0.07,plays_at_height
2025,Clemisha Prackett,Mississippi Valley St.,67386,6-1,"6'1""",73.0,74.66,"6'3""",1.66,plays_taller,74.66,"6'3""",1.66,plays_taller
2025,Paris Kirk,Eastern Washington,67387,6-2,"6'2""",74.0,71.52,"6'0""",-2.48,plays_shorter,71.52,"6'0""",-2.48,plays_shorter
2025,Kennedy Taylor,Kansas St.,67388,6-2,"6'2""",74.0,74.92,"6'3""",0.92,plays_taller,74.92,"6'3""",0.92,plays_taller
2025,Allysan Tse,Cal St. Bakersfield,67389,5-8,"5'8""",68.0,69.81,"5'10""",1.81,plays_taller,69.81,"5'10""",1.81,plays_taller
2025,Olivia Moran,Northern Arizona,67390,5-11,"5'11""",71.0,70.62,"5'11""",-0.38,plays_at_height,70.62,"5'11""",-0.38,plays_at_height
2025,Esther Little,Gonzaga,67393,6-2,"6'2""",74.0,71.52,"6'0""",-2.48,plays_shorter,71.52,"6'0""",-2.48,plays_shorter
2025,Eleonora Villa,Washington St.,67395,5-8,"5'8""",68.0,69.86,"5'10""",1.86,plays_taller,69.86,"5'10""",1.86,plays_taller
2025,Amira Brown,San Jose St.,67398,5-10,"5'10""",70.0,70.61,"5'11""",0.61,plays_at_height,70.61,"5'11""",0.61,plays_at_height
2025,Candace Kpetikou,Washington St.,67400,6-3,"6'3""",75.0,74.94,"6'3""",-0.06,plays_at_height,74.94,"6'3""",-0.06,plays_at_height
2025,Ash'a Thompson,Prairie View A&M,67401,5-10,"5'10""",70.0,70.31,"5'10""",0.31,plays_at_height,70.31,"5'10""",0.31,plays_at_height
2025,Sigrun Olafsdottir,Chattanooga,67407,5-9,"5'9""",69.0,70.08,"5'10""",1.08,plays_taller,70.08,"5'10""",1.08,plays_taller
2025,Yonta Vaughn,Virginia,67408,5-8,"5'8""",68.0,69.63,"5'10""",1.63,plays_taller,69.63,"5'10""",1.63,plays_taller
2025,Izabel Varejão,Syracuse,67409,6-4,"6'4""",76.0,74.21,"6'2""",-1.79,plays_shorter,74.21,"6'2""",-1.79,plays_shorter
2025,Cordasia Harris,Alabama St.,67410,6-1,"6'1""",73.0,73.61,"6'2""",0.61,plays_at_height,73.61,"6'2""",0.61,plays_at_height
2025,Alary Bell,Saint Francis,67416,6-2,"6'2""",74.0,73.6,"6'2""",-0.4,plays_at_height,73.6,"6'2""",-0.4,plays_at_height
2025,Marina Artero,Saint Francis,67418,5-10,"5'10""",70.0,70.93,"5'11""",0.93,plays_taller,70.93,"5'11""",0.93,plays_taller
2025,AJ Marotte,Oregon St.,67421,6-1,"6'1""",73.0,70.04,"5'10""",-2.96,plays_shorter,70.04,"5'10""",-2.96,plays_shorter
2025,Nalyce Dudley,Sacred Heart,67425,5-10,"5'10""",70.0,70.61,"5'11""",0.61,plays_at_height,70.61,"5'11""",0.61,plays_at_height
2025,Divine Dibula,Monmouth,67426,6-1,"6'1""",73.0,73.48,"6'1""",0.48,plays_at_height,73.48,"6'1""",0.48,plays_at_height
2025,Rachel Kaus,Cornell,67428,6-0,"6'0""",72.0,71.25,"5'11""",-0.75,plays_at_height,71.25,"5'11""",-0.75,plays_at_height
2025,Alexis Davis,Buffalo,67433,6-0,"6'0""",72.0,72.88,"6'1""",0.88,plays_taller,72.88,"6'1""",0.88,plays_taller
2025,Mariama Sow,Western Kentucky,67435,6-3,"6'3""",75.0,72.29,"6'0""",-2.71,plays_shorter,72.29,"6'0""",-2.71,plays_shorter
2025,Ali Brigham,Bryant,67438,6-4,"6'4""",76.0,74.48,"6'2""",-1.52,plays_shorter,74.48,"6'2""",-1.52,plays_shorter
2025,Kennedy Johnson,Saint Mary's,67441,5-11,"5'11""",71.0,71.78,"6'0""",0.78,plays_taller,71.78,"6'0""",0.78,plays_taller
2025,Molly Heard,Lipscomb,67442,6-0,"6'0""",72.0,71.91,"6'0""",-0.09,plays_at_height,71.91,"6'0""",-0.09,plays_at_height
2025,Zoe Cooper,Jackson St.,67444,5-11,"5'11""",71.0,72.14,"6'0""",1.14,plays_taller,72.14,"6'0""",1.14,plays_taller
2025,Destiny Leo,Cleveland St.,67448,5-10,"5'10""",70.0,70.73,"5'11""",0.73,plays_at_height,70.73,"5'11""",0.73,plays_at_height
2025,Camryn Hill,Old Dominion,67449,6-0,"6'0""",72.0,70.55,"5'11""",-1.45,plays_shorter,70.55,"5'11""",-1.45,plays_shorter
