season,player,team,source_conference,class,A10,ACC,AE,AMER,ASUN,B10,B12,BE,BSKY,BSTH,BW,CAA,CUSA,HORZ,IND,Ivy,MAAC,MAC,MEAC,MVC,Mountain West,NEC,OVC,P12,PAT,SB,SC,SEC,SLND,SUM,SWAC,WAC,WCC
2025,Aimee Flippen,Abilene Christian,WAC,Freshman,C-,D+,D+,C-,B,D,D+,C-,C+,B,B,D+,C,C+,C,B-,B,C+,D+,C+,C+,C,D,D+,D,C,D,D+,D+,B,B+,D,B-
2025,Bella Earle,Abilene Christian,WAC,Senior,B,C+,A,B-,A,C+,C+,B-,B+,A-,A,C+,B,B,A-,B+,A,B+,A,B,B,A+,A-,C+,A,B+,A-,C+,A,A-,A,C,B+
2025,Breanna Davis,Abilene Christian,WAC,Junior,C,D+,C-,C,B+,D+,C-,C,B-,B+,B,D+,C+,C+,C+,B,B+,B-,C,C+,C+,C+,C-,D+,C-,C+,D+,D+,C-,B,B+,D+,B-
2025,Emma Troxell,Abilene Christian,WAC,Sophomore,B-,C,B+,B-,A-,C+,C+,C+,B,A-,A-,C,B-,B-,B,B+,A-,B,B+,B,B,A,B,C+,B+,B,B,C+,B+,B+,A,C,B+
2025,Erin Woodson,Abilene Christian,WAC,Sophomore,B-,C+,A-,B-,A,C+,C+,B-,B,A-,A,C+,B,B,B,B+,A,B+,A,B,B,A,B+,C+,A-,B,B+,C+,A-,B+,A,C,B+
2025,Meredith Mayes,Abilene Christian,WAC,Sophomore,B,B-,A,B,A,B-,B-,B-,B+,A,A,C+,B,B,A-,B+,A,B+,A+,B,B+,A+,A,C+,A,B+,A,B-,A,A-,A,C+,B+
2025,Mia Rivers,Abilene Christian,WAC,Senior,B-,C+,A,B-,A,C+,C+,B-,B+,A-,A,C+,B,B,B+,B+,A,B+,A,B,B,A,A-,C+,A-,B,A-,C+,A-,B+,A,C,B+
2025,Natalia Chavez,Abilene Christian,WAC,Junior,C+,C-,C+,C+,B+,C-,C-,C+,B-,B+,B+,C-,C+,B-,C+,B,B+,B,B-,B-,B-,B,C+,C-,C+,C+,C+,C-,B-,B,A-,D+,B
2025,Paula Pique,Abilene Christian,WAC,Freshman,C-,D,D,D+,B,D,D+,C-,C+,B,B,D+,C,C,C+,B-,B,C+,D,C+,C+,C-,D,D+,D,C,D,D,D,B-,B+,D,C+
2025,Payton Hull,Abilene Christian,WAC,Sophomore,B,B-,A+,B,A,B-,B-,B,B+,A,A,B-,B,B,A-,A-,A,B+,A+,B+,B+,A+,A,B-,A,B+,A,B-,A,A-,A,C+,A-
2025,Zoe Jackson,Abilene Christian,WAC,Senior,C+,D+,C,C,B+,C-,C-,C,B-,B+,B+,D+,C+,C+,B-,B,B+,B-,C+,B-,C+,B,C,C-,C,C+,C-,C-,C,B,B+,D+,B
2025,Alexis Cortez,Air Force,MWC,Sophomore,C+,C-,C+,C+,B+,C-,C-,C+,B-,B+,B+,C-,C+,B-,B-,B,B+,B-,B-,B-,B-,B,C+,C-,C+,B-,C+,C-,C+,B,A-,D+,B
2025,Emily Adams,Air Force,MWC,Junior,C-,D+,C-,C-,B,D+,D+,C,C+,B,B,D+,C+,C+,C+,B-,B,B-,C-,C+,C+,C+,D+,D+,D+,C+,D+,D+,C-,B,B+,D+,B-
2025,Emma Lytle,Air Force,MWC,Freshman,C-,D,D,D+,B-,D,D+,C-,C+,B,B,D+,C-,C,C,B-,B-,C+,D,C+,C,C-,D,D,D,C-,D-,D,D,B-,B+,D,C+
2025,Jayda McNabb,Air Force,MWC,Sophomore,B,B-,A,B,A,C+,C+,B-,B+,A,A,C+,B,B,B+,B+,A,B+,A,B,B,A+,A,C+,A,B+,A,B-,A,A-,A,C+,B+
2025,Jo Huntimer,Air Force,MWC,Senior,B-,C+,A-,B-,A,C+,C+,B-,B,A-,A-,C+,B-,B,B,B+,A-,B,A-,B,B,A,B+,C+,A-,B,B+,C+,A-,B+,A,C,B+
2025,Jordyn DeVaughn,Air Force,MWC,Sophomore,C+,C,B,C+,A-,C,C,C+,B,B+,A-,C,B-,B-,B-,B,A-,B,B,B-,B-,A-,B,C,B,B-,B-,C,B,B+,A,C-,B
2025,Keelie O'Hollaren,Air Force,MWC,Sophomore,C+,C,B,B-,A-,C,C,C+,B,A-,A-,C,B-,B-,B,B,A-,B,B+,B,B,A-,B,C+,B+,B,B,C,B+,B+,A,C,B+
2025,Madison Smith,Air Force,MWC,Senior,B,B-,A,B,A,C+,B-,B-,B+,A,A,C+,B,B,B+,B+,A,B+,A,B,B,A+,A,C+,A,B+,A,B-,A,A-,A,C+,B+
2025,Milahnie Perry,Air Force,MWC,Junior,B-,C,B,C+,A-,C+,C+,C+,B,B+,A-,C,B-,B-,B,B,A-,B,B+,B,B,A-,B,C+,B,B,B,C+,B,B+,A,C-,B+
2025,Alexus Mobley,Akron,MAC,Senior,B-,C,B,C+,A-,C+,C+,C+,B,B+,A-,C,B-,B-,B,B,A-,B,B+,B,B,A-,B,C+,B,B,B,C+,B,B+,A,C-,B+
2025,Emily Hall,Akron,MAC,Senior,C,D+,C-,C,B+,D+,C-,C,B-,B+,B,D+,C+,C+,C+,B,B+,B-,C,C+,C+,C+,C-,D+,C-,C+,D+,D+,C-,B,B+,D+,B-
2025,Kam'Ren Rhodes,Akron,MAC,Junior,C-,D,D,D+,B,D+,D+,C-,C+,B,B-,D,C-,C,C+,B-,B,C+,D,C+,C,C-,D-,D,D,C,D-,D+,D,B-,B+,D,B-
2025,Liisa Taponen,Akron,MAC,Junior,C,C-,C,C,B+,C-,C-,C+,B-,B+,B+,C-,C+,C+,B-,B,B+,B-,C+,B-,C+,B,C,C-,C+,B-,C,C-,C+,B,A-,D+,B
2025,Liz Murphy,Akron,MAC,Freshman,D+,D,D-,D+,B-,D,D+,C-,C+,B,B-,D,C-,C,C+,B-,B-,C+,D,C,C,D+,D-,D,D-,C-,D-,D,D,B-,B+,D,C+
2025,Maddie Vejsicky,Akron,MAC,Junior,C+,C-,C,C,B+,C-,C-,C,B-,B+,B+,C-,C+,C+,B-,B,B+,B-,C+,B-,C+,B,C,C-,C+,C+,C,C-,C+,B,A-,D+,B
